Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec YTD DD 
2021 1.16 2.49 -7.41 3.27 -0.86 -7.41 2020 3.09 4.93 22.65 5.94 -7.81 -0.77 8.00 
3.42 4.04 1.59 -4.20 -2.48 41.81 -8.52 2019 14.00 -1.53 8.38 -1.52 2.30 10.21 -6.11 
5.54 -1.71 -2.26 -4.53 2.44 25.76 -9.12 2018 9.21 3.84 -1.62 -2.95 -0.35 -6.69 -1.65 
-3.70 -3.98 -5.08 -0.01 5.69 -8.16 -23.37 2017 -16.09 4.13 8.20 0.22 8.32 -3.52 6.97 
16.30 8.35 6.38 -7.36 2.28 34.54 -16.09 2016 4.26 3.49 -5.47 -2.75 -1.97 8.12 1.15 
-6.71 -14.96 24.76 -8.00 -0.76 -3.90 -21.81 2015 20.69 -4.80 -5.55 -4.86 -0.40 11.56 18.92 
-2.64 1.41 -4.69 9.68 -0.32 40.36 -14.80 2014 11.93 22.04 -11.48 20.92 -11.48 
Program / Index Apr Qtr YTD 1yr 3yr 5yr 10yr Since10/2014 
Discretionary Global Macro Program 3.27 -2.00 -0.86 0.02 49.97 111.65 - 256.30 
S&P 500 5.24 16.22 14.93 48.22 63.01 106.89 - 111.74 
+/- S&P 500 -1.97 -18.23 -15.79 -48.20 -13.04 4.76 - 144.56 
Type Managed Account 
"Minimum Investment $ 5,000k "
Trading Level Incremental Increase $ 0k 
CTA Max Funding Factor 2.00 
Management Fee 2.00% 
Performance Fee 20.00% 
Average Commission $5.00 
Available to US Investors Yes 
High Water Mark Yes 
Subscription Frequency Daily 
Redemption Frequency Daily 
Investor Requirements Any Investor 
Lock-up Period 0 
Trading Frequency 750 RT/YR/$M 
Avg. Margin-to-Equity 12% 
Targeted Worst DD -25.00% 
Worst Peak-to-Trough -25.00% 
Sector Focus Diversified Traders 
Over 12 Months 25.00% 
4-12 Months 25.00% 
1-3 Months 25.00% 
1-30 Days 25.00% 
Intraday 0% 
Discretionary 100.00% 
Systematic 0% 
Index Award Type Rank Performance Period 
Discretionary Trader Index Month 9 2.49 2/2021 
IASG CTA Index 5 Year 6 111.77 2015 - 2020 
IASG CTA Index Annual 9 41.81 2020 
IASG CTA Index 3 Year 9 63.80 2017 - 2020 
Diversified Trader Index Month 10 4.04 9/2020 
Discretionary Trader Index Month 3 4.04 9/2020 
Discretionary Trader Index Month 3 4.04 9/2020 
Diversified Trader Index Month 8 4.04 9/2020 
Discretionary Trader Index Month 10 3.42 8/2020 
Discretionary Trader Index Month 2 8.00 7/2020 
Discretionary Trader Index Month 7 5.94 4/2020 
Diversified Trader Index Month 7 5.94 4/2020 
Diversified Trader Index Month 6 5.94 4/2020 
Discretionary Trader Index Month 7 5.94 4/2020 
IASG CTA Index Month 9 22.65 3/2020 
Diversified Trader Index Month 7 22.65 3/2020 
Discretionary Trader Index Month 2 22.65 3/2020 
Discretionary Trader Index Month 5 4.93 2/2020 
Discretionary Trader Index Month 3 3.09 1/2020 
IASG CTA Index 5 Year 2 117.33 2014 - 2019 
IASG CTA Index 3 Year 9 55.34 2016 - 2019 
IASG CTA Index Annual 10 25.76 2019 
Discretionary Trader Index Month 10 2.44 12/2019 
Discretionary Trader Index Month 4 5.54 8/2019 
Diversified Trader Index Month 4 10.21 6/2019 
IASG CTA Index Month 3 10.21 6/2019 
Discretionary Trader Index Month 1 10.21 6/2019 
Discretionary Trader Index Month 3 8.38 3/2019 
IASG CTA Index Month 10 8.38 3/2019 
Diversified Trader Index Month 8 8.38 3/2019 
Discretionary Trader Index Month 1 13.97 1/2019 
IASG CTA Index Month 1 13.97 1/2019 
Diversified Trader Index Month 1 13.97 1/2019 
Discretionary Trader Index Month 1 5.69 12/2018 
IASG CTA Index Month 10 5.69 12/2018 
Diversified Trader Index Month 7 3.84 2/2018 
Discretionary Trader Index Month 5 3.84 2/2018 
Discretionary Trader Index Month 2 9.21 1/2018 
IASG CTA Index 3 Year 5 88.16 2014 - 2017 
IASG CTA Index Annual 4 34.49 2017 
Discretionary Trader Index Month 7 2.16 12/2017 
Discretionary Trader Index Month 3 5.84 10/2017 
Discretionary Trader Index Month 2 8.35 9/2017 
IASG CTA Index Month 2 8.35 9/2017 
Diversified Trader Index Month 1 8.35 9/2017 
IASG CTA Index Month 2 16.30 8/2017 
Diversified Trader Index Month 1 16.30 8/2017 
Discretionary Trader Index Month 2 16.30 8/2017 
Discretionary Trader Index Month 1 6.97 7/2017 
IASG CTA Index Month 5 6.97 7/2017 
Diversified Trader Index Month 5 6.97 7/2017 
Diversified Trader Index Month 3 8.32 5/2017 
Discretionary Trader Index Month 1 8.32 5/2017 
Diversified Trader Index Month 1 8.20 3/2017 
Discretionary Trader Index Month 3 8.20 3/2017 
Discretionary Trader Index Month 3 4.13 2/2017 
Diversified Trader Index Month 8 4.13 2/2017 
Discretionary Trader Index Month 1 25.84 10/2016 
Diversified Trader Index Month 1 25.84 10/2016 
Program Name CAROR 
Discretionary Global Macro Program 21.29% 
Fundamental 70.00%
Technical 30.00%
Currency Futures 15.00%
Grains 15.00%
Interest Rates 15.00%
Stock Indices 15.00%
Industrial Metals 10.00%
Precious Metals 10.00%
Energy 10.00%
Softs 8.00%
Livestock 2.00%
Annualized Vol 28.14%
Sharpe (RFR=1%) 0.79
CAROR 21.29%
Assets $ 76.0M
Worst DD -25.27
S&P  Correlation -0.16
