Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec YTD DD 
2021 11.51 10.96 -11.01 33.08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 46.53 -11.01 
2020 -12.26 -5.18 -3.70 -1.32 33.63 13.49 23.81 17.29 -12.44 -4.71 23.92 38.31 148.99 -20.94 
2019 2.97 -1.53 -0.68 1.69 -1.33 16.48 -7.01 -9.09 -4.17 2.17 -9.67 9.34 -3.78 -25.23 
2018 11.15 -9.53 3.86 3.08 -3.60 3.78 -6.67 -5.00 4.78 -3.18 -0.32 -2.38 -5.73 -15.19 
2017 5.64 5.08 -8.01 -5.55 -5.88 -3.94 10.55 -3.30 3.32 1.20 4.25 10.13 11.90 -21.45 
2016 7.29 4.45 -3.55 15.56 -2.56 4.09 -12.10 -1.06 6.89 -4.23 -6.66 0.85 6.17 -16.90 
2015 6.52 -7.94 -3.55 7.79 -4.09 -1.26 -17.44 3.87 -0.68 -8.41 -15.65 -4.87 -39.57 -43.26 
2014 -6.42 18.71 1.96 1.20 -5.13 2.77 -17.33 -11.12 -17.21 -11.47 -13.32 -6.10 -51.01 -57.26 
2013 9.83 -16.56 0.24 -7.97 -5.48 -13.90 6.25 3.95 -15.14 -10.70 -6.22 2.06 -44.89 -50.83 
2012 9.68 10.74 -4.68 3.01 -35.27 19.00 18.84 18.72 1.15 -10.65 0.89 -3.76 13.74 -36.44 
2011 -2.86 10.35 12.61 15.39 -13.61 -11.65 15.30 11.40 -43.98 18.23 -4.44 -4.16 -17.17 -45.08 
2010 -28.35 8.51 6.85 4.60 -14.95 -1.30 14.20 -10.62 36.15 17.97 4.45 33.13 66.29 -28.35 
2009 -12.39 -13.21 18.51 5.87 61.29 -12.99 6.20 -6.00 11.17 11.39 22.96 -3.07 97.26 -23.96 
2008 14.76 29.12 -9.96 3.19 11.96 26.11 -21.19 -25.59 -20.05 -49.02 -34.04 -13.84 -73.59 -86.42 
2007 0.28 12.09 -1.67 -2.77 0.67 1.81 5.12 -3.62 28.21 12.50 -1.41 16.13 84.28 -4.39 
2006 9.23 -14.66 14.22 23.00 -4.35 -9.58 5.29 -14.56 -19.75 13.82 19.63 -14.28 -4.56 -37.56 
2005 -0.59 26.64 6.33 -8.81 1.15 4.11 8.96 8.69 2.99 -16.68 -5.98 18.16 45.13 -21.66 
2004 6.03 17.06 17.76 -13.25 -4.72 -4.20 7.45 6.78 5.60 12.22 3.06 -15.94 36.33 -20.82 
2003 10.28 19.57 -24.13 -11.35 9.19 -3.54 7.89 11.06 7.76 9.53 3.35 14.10 55.78 -32.74 
2002 -4.37 -2.43 5.43 -0.11 -8.76 4.73 7.55 7.79 6.64 -21.05 -7.68 7.50 -9.05 -27.11 
2001 -1.65 3.96 15.83 -6.96 -9.22 0.08 -3.25 0.26 3.48 5.44 -3.95 1.05 2.84 -18.22 
2000 0.46 7.39 -4.54 -12.60 5.97 14.69 -13.57 17.65 -6.41 9.22 -2.38 -2.22 8.54 -16.57 
1999 -5.93 6.37 7.09 8.54 -10.50 21.39 1.35 3.11 -9.92 -3.27 12.68 11.06 43.99 -12.87 
1998 -5.57 -6.55 -17.59 -8.86 -1.36 -12.17 17.27 -11.94 -19.87 0.01 19.01 13.38 -35.88 -52.48 
1997 2.64 0.81 -3.93 -7.74 -9.41 1.41 -1.30 -13.03 2.12 -7.98 4.98 10.55 -21.13 -34.32 
1996 10.26 -18.71 25.07 11.13 -1.40 13.24 -14.46 16.52 9.66 5.16 1.05 12.21 81.28 -18.71 
1995 8.99 7.30 11.86 7.00 2.51 0.80 0.44 9.59 7.55 -4.18 0.25 -16.25 37.75 -19.55 
1994 -13.47 -13.44 12.12 13.58 8.02 0.63 13.27 -15.85 -2.66 2.27 -5.59 -0.22 -7.32 -25.10 
1993 4.72 2.03 -5.84 -2.72 15.53 14.48 3.97 14.78 4.66 2.70 9.99 10.14 101.14 -8.40 
1992 0.0 0.0 0.0 0.0 0.0 0.0 2.52 1.62 0.93 -6.13 1.60 5.40 5.70 -6.13 
Program / Index Apr Qtr YTD 1yr 3yr 5yr 10yr Since7/1992 
MAAP (3x-6x) Composite 33.08 31.41 46.53 361.49 207.39 214.77 -56.61 932.10 
S&P 500 5.24 16.22 14.93 48.22 63.01 106.89 213.29 907.16 
+/- S&P 500 27.84 15.18 31.60 313.27 144.38 107.88 -269.90 24.94 
Type Managed Account 
"Minimum Investment $ 2,000k "
Trading Level Incremental Increase $ 1k 
CTA Max Funding Factor 4.00 
Management Fee 4.00% 
Performance Fee 20.00% 
Average Commission $5.00 
Available to US Investors Yes 
High Water Mark Yes 
Subscription Frequency Daily 
Redemption Frequency Daily 
Investor Requirements QEP 
Lock-up Period 0 
Trading Frequency 400 RT/YR/$M 
Avg. Margin-to-Equity 30% 
Targeted Worst DD  
Worst Peak-to-Trough 0% 
Sector Focus Diversified Traders 
Over 12 Months 50.00% 
4-12 Months 40.00% 
1-3 Months 10.00% 
1-30 Days 0% 
Intraday 0% 
Discretionary 100.00% 
Systematic 0% 
Index Award Type Rank Performance Period 
Discretionary Trader Index Month 5 3.87 8/2015 
IASG CTA Index Month 5 7.79 4/2015 
Discretionary Trader Index Month 2 7.79 4/2015 
Diversified Trader Index Month 2 7.79 4/2015 
Discretionary Trader Index Month 10 6.52 1/2015 
Diversified Trader Index Month 2 18.71 2/2014 
IASG CTA Index Month 2 18.71 2/2014 
Discretionary Trader Index Month 1 18.71 2/2014 
Diversified Trader Index Month 10 3.95 8/2013 
Discretionary Trader Index Month 8 3.95 8/2013 
Diversified Trader Index Month 10 6.25 7/2013 
Discretionary Trader Index Month 4 6.25 7/2013 
Discretionary Trader Index Month 1 9.83 1/2013 
IASG CTA Index Month 8 9.83 1/2013 
Diversified Trader Index Month 7 9.83 1/2013 
Diversified Trader Index Month 1 18.72 8/2012 
IASG CTA Index Month 2 18.72 8/2012 
Discretionary Trader Index Month 2 18.72 8/2012 
Discretionary Trader Index Month 4 18.84 7/2012 
Diversified Trader Index Month 4 18.84 7/2012 
IASG CTA Index Month 7 18.84 7/2012 
Discretionary Trader Index Month 3 19.00 6/2012 
IASG CTA Index Month 3 19.00 6/2012 
Diversified Trader Index Month 1 19.00 6/2012 
Discretionary Trader Index Month 1 10.74 2/2012 
IASG CTA Index Month 5 10.74 2/2012 
Diversified Trader Index Month 5 10.74 2/2012 
Discretionary Trader Index Month 4 9.68 1/2012 
Diversified Trader Index Month 10 9.68 1/2012 
IASG CTA Index 3 Year 7 171.70 2008 - 2011 
Diversified Trader Index Month 2 18.23 10/2011 
IASG CTA Index Month 3 18.23 10/2011 
Discretionary Trader Index Month 3 18.23 10/2011 
Discretionary Trader Index Month 3 11.40 8/2011 
Discretionary Trader Index Month 3 15.30 7/2011 
Diversified Trader Index Month 7 15.30 7/2011 
IASG CTA Index Month 9 15.30 7/2011 
IASG CTA Index Month 7 15.39 4/2011 
Diversified Trader Index Month 6 15.39 4/2011 
Discretionary Trader Index Month 2 15.39 4/2011 
Diversified Trader Index Month 1 12.61 3/2011 
Discretionary Trader Index Month 4 12.61 3/2011 
IASG CTA Index Month 5 12.61 3/2011 
Discretionary Trader Index Month 4 10.35 2/2011 
Diversified Trader Index Month 7 10.35 2/2011 
IASG CTA Index Annual 6 66.29 2010 
IASG CTA Index Month 3 33.13 12/2010 
Discretionary Trader Index Month 3 33.13 12/2010 
Diversified Trader Index Month 1 33.13 12/2010 
Discretionary Trader Index Month 2 4.45 11/2010 
Diversified Trader Index Month 3 4.45 11/2010 
IASG CTA Index Month 7 4.45 11/2010 
Diversified Trader Index Month 8 17.97 10/2010 
Discretionary Trader Index Month 6 17.97 10/2010 
IASG CTA Index Month 2 36.15 9/2010 
Discretionary Trader Index Month 2 36.15 9/2010 
Diversified Trader Index Month 1 36.15 9/2010 
Diversified Trader Index Month 1 14.20 7/2010 
IASG CTA Index Month 2 14.20 7/2010 
Discretionary Trader Index Month 2 14.20 7/2010 
Discretionary Trader Index Month 7 4.60 4/2010 
Discretionary Trader Index Month 4 6.85 3/2010 
Discretionary Trader Index Month 4 8.51 2/2010 
Diversified Trader Index Month 6 8.51 2/2010 
IASG CTA Index Month 10 8.51 2/2010 
IASG CTA Index Annual 4 97.26 2009 
Discretionary Trader Index Month 2 22.96 11/2009 
Diversified Trader Index Month 7 22.96 11/2009 
IASG CTA Index Month 8 22.96 11/2009 
IASG CTA Index Month 3 11.39 10/2009 
Diversified Trader Index Month 2 11.39 10/2009 
Discretionary Trader Index Month 2 11.39 10/2009 
Diversified Trader Index Month 3 11.17 9/2009 
Discretionary Trader Index Month 3 11.17 9/2009 
IASG CTA Index Month 6 11.17 9/2009 
Discretionary Trader Index Month 3 6.20 7/2009 
Diversified Trader Index Month 8 6.20 7/2009 
IASG CTA Index Month 9 6.20 7/2009 
Discretionary Trader Index Month 1 61.29 5/2009 
Diversified Trader Index Month 1 61.29 5/2009 
IASG CTA Index Month 1 61.29 5/2009 
Diversified Trader Index Month 6 5.87 4/2009 
Discretionary Trader Index Month 5 5.87 4/2009 
Discretionary Trader Index Month 1 18.51 3/2009 
IASG CTA Index Month 1 18.51 3/2009 
Diversified Trader Index Month 1 18.51 3/2009 
Discretionary Trader Index Month 1 26.11 6/2008 
Diversified Trader Index Month 1 26.11 6/2008 
IASG CTA Index Month 1 26.11 6/2008 
Discretionary Trader Index Month 1 11.96 5/2008 
IASG CTA Index Month 6 11.96 5/2008 
Diversified Trader Index Month 6 11.96 5/2008 
Discretionary Trader Index Month 10 3.19 4/2008 
Diversified Trader Index Month 6 29.12 2/2008 
IASG CTA Index Month 6 29.12 2/2008 
Discretionary Trader Index Month 1 29.12 2/2008 
Discretionary Trader Index Month 1 14.76 1/2008 
Discretionary Trader Index Month 4 16.13 12/2007 
IASG CTA Index Annual 3 84.28 2007 
Diversified Trader Index Month 3 16.13 12/2007 
Program Name CAROR 
MAAP (3x-6x) Composite 8.43% 
MAAP (2x-4x) Composite 7.38% 
Fundamental 90.00%
Trend-following 10.00%
Currency Futures 17.00%
Energy 17.00%
Grains 17.00%
Interest Rates 16.00%
Stock Indices 16.00%
Precious Metals 14.00%
