Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec YTD DD 
2021 4.50 0.55 -3.33 12.04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13.81 -3.33 
2020 -0.58 -0.11 0.64 1.73 -0.78 -0.98 -0.77 5.46 1.83 0.66 6.87 8.40 24.13 -2.51 
2019 -0.65 -1.08 0.35 0.11 2.54 -1.22 -1.04 -1.38 -0.27 -2.30 -1.01 2.15 -3.84 -7.02 
2018 1.63 2.67 0.43 2.51 -1.71 -3.67 1.71 -1.24 -0.72 0.64 -1.31 -2.20 -1.47 -8.28 
2017 -0.25 -1.14 -1.21 -0.81 -0.05 4.34 -1.44 -0.70 -0.07 -0.82 -2.36 -1.03 -5.54 -6.27 
2016 0.34 -0.85 -2.98 7.05 3.01 6.56 -9.88 -2.49 -2.23 -0.23 -3.79 -2.60 -8.89 -19.67 
2015 -5.32 -3.57 -0.28 -2.12 -1.19 8.80 -6.17 -1.84 -0.05 -2.00 -1.23 -0.06 -14.68 -14.68 
2014 0.97 3.46 0.75 2.37 -2.16 -3.50 4.78 6.83 4.43 -3.87 1.41 1.74 17.94 -5.58 
2013 -1.09 5.47 -1.10 -1.51 -1.86 -4.20 7.92 9.16 2.28 -1.48 4.04 -2.22 15.37 -8.42 
2012 -0.35 5.26 8.56 9.33 -11.12 13.89 18.60 4.55 -9.06 -4.91 -1.08 1.37 35.50 -14.46 
2011 0.0 0.0 0.0 0.0 0.0 0.0 -1.40 4.11 -0.99 -3.32 2.76 -1.55 -0.59 -4.28 
Program / Index Apr Qtr YTD 1yr 3yr 5yr 10yr Since7/2011 
Discretionary Trading Program 12.04 8.90 13.81 38.94 24.59 11.47 - 80.10 
S&P 500 5.24 16.22 14.93 48.22 63.01 106.89 - 230.60 
+/- S&P 500 6.80 -7.32 -1.12 -9.28 -38.41 -95.42 - -150.50 
Type Managed Account 
Minimum Investment $ 100k 
Trading Level Incremental Increase $ 100k 
CTA Max Funding Factor 1.00 
Management Fee 2.00% 
Performance Fee 20.00% 
Average Commission $0 
Available to US Investors Yes 
High Water Mark Yes 
Subscription Frequency Daily 
Redemption Frequency Daily 
Investor Requirements Any Investor 
Lock-up Period 0 
Trading Frequency 5052 RT/YR/$M 
Avg. Margin-to-Equity 15% 
Targeted Worst DD  
Worst Peak-to-Trough  
Sector Focus Agricultural Traders 
Over 12 Months 0% 
4-12 Months 5.00% 
1-3 Months 50.00% 
1-30 Days 45.00% 
Intraday 0% 
Discretionary 100.00% 
Systematic 0% 
Index Award Type Rank Performance Period 
Agricultural Trader Index Month 6 0.55 2/2021 
IASG CTA Index Month 7 4.50 1/2021 
Agricultural Trader Index Month 3 4.50 1/2021 
Discretionary Trader Index Month 4 4.50 1/2021 
Discretionary Trader Index Month 3 8.40 12/2020 
Agricultural Trader Index Month 2 8.40 12/2020 
Agricultural Trader Index Month 2 6.87 11/2020 
Discretionary Trader Index Month 4 6.87 11/2020 
Agricultural Trader Index Month 10 0.66 10/2020 
Discretionary Trader Index Month 9 1.83 9/2020 
Agricultural Trader Index Month 5 1.83 9/2020 
Agricultural Trader Index Month 5 1.83 9/2020 
Discretionary Trader Index Month 9 1.83 9/2020 
Discretionary Trader Index Month 7 5.46 8/2020 
Agricultural Trader Index Month 2 5.46 8/2020 
Agricultural Trader Index Month 6 1.73 4/2020 
Agricultural Trader Index Month 6 1.73 4/2020 
Agricultural Trader Index Month 8 0.64 3/2020 
Agricultural Trader Index Month 6 2.15 12/2019 
Agricultural Trader Index Month 8 2.54 5/2019 
Agricultural Trader Index Month 7 0.35 3/2019 
Agricultural Trader Index Month 9 0.64 10/2018 
Agricultural Trader Index Month 8 1.71 7/2018 
Discretionary Trader Index Month 7 2.51 4/2018 
Agricultural Trader Index Month 2 2.51 4/2018 
Agricultural Trader Index Month 6 2.67 2/2018 
Agricultural Trader Index Month 8 1.63 1/2018 
Agricultural Trader Index Month 6 4.34 6/2017 
IASG CTA Index Month 7 4.34 6/2017 
Discretionary Trader Index Month 5 4.34 6/2017 
Agricultural Trader Index Month 4 6.56 6/2016 
Discretionary Trader Index Month 6 6.56 6/2016 
Discretionary Trader Index Month 6 3.01 5/2016 
Agricultural Trader Index Month 4 3.01 5/2016 
IASG CTA Index Month 10 3.01 5/2016 
Agricultural Trader Index Month 4 7.05 4/2016 
Discretionary Trader Index Month 5 7.05 4/2016 
IASG CTA Index Month 8 7.05 4/2016 
Discretionary Trader Index Month 4 8.80 6/2015 
Agricultural Trader Index Month 2 8.80 6/2015 
IASG CTA Index Month 3 8.80 6/2015 
IASG CTA Index 3 Year 7 83.39 2011 - 2014 
Agricultural Trader Index Month 5 1.74 12/2014 
Agricultural Trader Index Month 5 1.41 11/2014 
Agricultural Trader Index Month 8 4.48 9/2014 
Agricultural Trader Index Month 5 6.83 8/2014 
Discretionary Trader Index Month 5 6.83 8/2014 
Agricultural Trader Index Month 8 4.78 7/2014 
Agricultural Trader Index Month 4 2.37 4/2014 
Discretionary Trader Index Month 8 2.37 4/2014 
Agricultural Trader Index Month 9 0.75 3/2014 
Agricultural Trader Index Month 5 3.46 2/2014 
Agricultural Trader Index Month 9 0.97 1/2014 
Discretionary Trader Index Month 10 4.04 11/2013 
Agricultural Trader Index Month 2 4.04 11/2013 
Agricultural Trader Index Month 6 2.28 9/2013 
Agricultural Trader Index Month 1 9.16 8/2013 
Discretionary Trader Index Month 3 9.16 8/2013 
IASG CTA Index Month 5 9.16 8/2013 
IASG CTA Index Month 4 7.92 7/2013 
Discretionary Trader Index Month 2 7.92 7/2013 
Agricultural Trader Index Month 2 7.92 7/2013 
Agricultural Trader Index Month 4 5.44 2/2013 
Discretionary Trader Index Month 8 5.44 2/2013 
Agricultural Trader Index Month 4 1.37 12/2012 
Agricultural Trader Index Month 8 4.55 8/2012 
IASG CTA Index Month 8 18.60 7/2012 
Agricultural Trader Index Month 4 18.60 7/2012 
Discretionary Trader Index Month 5 18.60 7/2012 
Discretionary Trader Index Month 5 13.89 6/2012 
IASG CTA Index Month 8 13.89 6/2012 
Agricultural Trader Index Month 4 13.89 6/2012 
IASG CTA Index Month 5 9.33 4/2012 
Discretionary Trader Index Month 4 9.33 4/2012 
Agricultural Trader Index Month 3 9.33 4/2012 
Discretionary Trader Index Month 3 8.56 3/2012 
Agricultural Trader Index Month 2 8.56 3/2012 
IASG CTA Index Month 10 8.56 3/2012 
Agricultural Trader Index Month 1 5.26 2/2012 
Discretionary Trader Index Month 6 5.26 2/2012 
Agricultural Trader Index Month 7 2.76 11/2011 
Agricultural Trader Index Month 9 -0.99 9/2011 
Agricultural Trader Index Month 6 4.11 8/2011 
Program Name CAROR 
Discretionary Trading Program 6.17% 
