Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec YTD DD 
2021 1.00 1.17 1.05 0.98 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.27 0.00 
2020 -0.39 -8.46 -5.91 2.12 1.82 0.33 1.37 0.93 1.45 0.96 1.19 1.48 -3.69 -14.21 
2019 1.87 0.55 0.53 0.45 -0.14 0.97 0.68 0.73 0.78 0.88 0.57 0.83 9.04 -0.14 
2018 -1.09 -30.66 1.25 1.18 1.31 1.29 1.89 0.75 0.78 -11.69 1.43 -5.56 -36.90 -36.90 
2017 0.83 1.01 0.86 1.08 1.02 1.53 1.03 0.74 0.70 1.01 0.45 1.21 12.09 0.00 
2016 1.55 1.06 3.00 1.31 1.39 -0.77 2.11 0.73 0.66 1.29 1.52 0.87 15.70 -0.77 
2015 0.71 0.84 1.12 0.66 0.71 -0.17 0.75 -3.76 3.82 1.23 0.99 0.95 7.97 -3.76 
2014 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.79 2.40 -1.01 1.90 4.11 -1.01 
Program / Index Apr Qtr YTD 1yr 3yr 5yr 10yr Since9/2014 
Carbide Absolute Return Program 0.98 3.23 4.27 14.62 -1.66 -16.32 - 0.73 
S&P 500 5.24 16.22 14.93 48.22 63.01 106.89 - 116.65 
+/- S&P 500 -4.26 -12.99 -10.66 -33.60 -64.67 -123.22 - -115.92 
Type Managed Account 
Minimum Investment $ 200k 
Trading Level Incremental Increase $ 0k 
CTA Max Funding Factor 2.00 
Management Fee 2.00% 
Performance Fee 20.00% 
Average Commission $11.00 
Available to US Investors Yes 
High Water Mark Yes 
Subscription Frequency Daily 
Redemption Frequency Daily 
Investor Requirements Any Investor 
Lock-up Period 0 
Trading Frequency 5000 RT/YR/$M 
Avg. Margin-to-Equity 20% 
Targeted Worst DD -20.00% 
Worst Peak-to-Trough -36.90% 
Sector Focus Stock Index Traders 
Over 12 Months 0% 
4-12 Months 0% 
1-3 Months 3.00% 
1-30 Days 95.00% 
Intraday 2.00% 
Discretionary 100.00% 
Systematic 0% 
Index Award Type Rank Performance Period 
Option Strategy Index Month 5 1.05 3/2021 
Option Strategy Index Month 5 1.17 2/2021 
Stock Index Trader Index Month 7 1.00 1/2021 
Option Strategy Index Month 2 1.00 1/2021 
Option Strategy Index Month 4 1.48 12/2020 
Option Strategy Index Month 3 1.19 11/2020 
Option Strategy Index Month 3 0.96 10/2020 
Stock Index Trader Index Month 8 0.96 10/2020 
Stock Index Trader Index Month 9 1.45 9/2020 
Option Strategy Index Month 2 1.45 9/2020 
Option Strategy Index Month 2 1.45 9/2020 
Stock Index Trader Index Month 9 1.45 9/2020 
Discretionary Trader Index Month 10 1.45 9/2020 
Option Strategy Index Month 4 0.93 8/2020 
Option Strategy Index Month 2 1.37 7/2020 
Option Strategy Index Month 4 0.33 6/2020 
Option Strategy Index Month 2 1.82 5/2020 
Discretionary Trader Index Month 9 1.82 5/2020 
Stock Index Trader Index Month 9 1.82 5/2020 
Stock Index Trader Index Month 10 2.12 4/2020 
Option Strategy Index Month 1 2.12 4/2020 
Option Strategy Index Month 1 2.12 4/2020 
Stock Index Trader Index Month 10 2.12 4/2020 
Option Strategy Index Month 8 -5.91 3/2020 
Option Strategy Index Month 6 -8.46 2/2020 
Option Strategy Index Month 10 -0.39 1/2020 
Option Strategy Index Month 5 0.83 12/2019 
Option Strategy Index Month 5 0.57 11/2019 
Option Strategy Index Month 4 0.88 10/2019 
Option Strategy Index Month 7 0.78 9/2019 
Option Strategy Index Month 4 0.73 8/2019 
Option Strategy Index Month 6 0.68 7/2019 
Option Strategy Index Month 4 0.97 6/2019 
Discretionary Trader Index Month 10 0.97 6/2019 
Option Strategy Index Month 7 -0.14 5/2019 
Option Strategy Index Month 7 0.45 4/2019 
Option Strategy Index Month 7 0.53 3/2019 
Option Strategy Index Month 7 0.55 2/2019 
Option Strategy Index Month 5 1.87 1/2019 
Option Strategy Index Month 4 1.43 11/2018 
Option Strategy Index Month 8 0.78 9/2018 
Option Strategy Index Month 4 0.75 8/2018 
Option Strategy Index Month 3 1.89 7/2018 
Option Strategy Index Month 7 1.29 6/2018 
Stock Index Trader Index Month 10 1.29 6/2018 
