Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec YTD DD 
2021 5.38 -8.35 1.53 1.62 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.35 -8.35 
2020 -0.20 0.41 10.57 7.30 1.38 3.44 -1.43 -0.42 -0.91 3.02 -0.06 4.42 30.37 -2.74 
2019 -2.04 -2.44 6.58 -2.12 -2.35 -3.42 -3.72 -1.77 1.15 -1.16 0.83 -1.00 -11.25 -12.87 
2018 2.61 0.67 -0.99 0.22 0.95 1.91 2.54 0.87 -0.61 0.78 -1.09 -1.82 6.09 -2.89 
2017 0.03 4.52 0.75 -0.68 2.33 3.75 2.51 1.25 3.10 -3.81 -0.59 -0.66 12.90 -5.01 
2016 -0.12 -0.78 -1.09 -1.42 -0.32 -0.21 4.20 -0.13 4.43 -1.44 -2.10 -0.99 -0.21 -4.47 
2015 5.20 -0.88 0.46 -1.94 -0.02 -0.64 -0.62 -2.49 -1.66 0.10 -0.06 0.82 -1.92 -7.56 
2014 1.69 7.12 2.56 0.37 2.27 2.40 5.39 1.01 1.23 -1.41 0.77 -2.78 22.23 -3.41 
2013 1.21 0.59 -2.68 1.70 -0.16 4.73 3.32 -0.39 1.19 -0.52 0.45 -1.37 8.14 -2.68 
2012 1.40 -1.58 -4.23 -3.78 -0.39 2.48 15.51 -2.56 -3.27 1.65 -2.43 -2.46 -1.13 -9.66 
2011 -0.10 9.07 5.81 2.75 -5.01 -3.81 1.67 0.23 -5.58 2.42 -0.87 0.35 6.11 -12.09 
2010 0.0 0.0 4.16 11.32 -6.87 -3.32 4.49 7.65 6.21 35.92 -20.92 4.44 40.01 -20.92 
Program / Index Apr Qtr YTD 1yr 3yr 5yr 10yr Since3/2010 
Livestock & Grain Trading Program 1.62 -5.44 -0.35 9.27 19.33 42.62 58.23 162.44 
S&P 500 5.24 16.22 14.93 48.22 63.01 106.89 213.29 265.33 
+/- S&P 500 -3.62 -21.66 -15.28 -38.95 -43.68 -64.28 -155.06 -102.89 
Type Managed Account 
Minimum Investment $ 50k 
Trading Level Incremental Increase $ 50k 
CTA Max Funding Factor 1.00 
Management Fee 2.00% 
Performance Fee 20.00% 
Average Commission $25.00 
Available to US Investors Yes 
High Water Mark Yes 
Subscription Frequency Daily 
Redemption Frequency Daily 
Investor Requirements QEP 
Lock-up Period 0 
Trading Frequency 1750 RT/YR/$M 
Avg. Margin-to-Equity 15% 
Targeted Worst DD -10.00% 
Worst Peak-to-Trough 20.92% 
Sector Focus Agricultural Traders 
Over 12 Months 0% 
4-12 Months 15.00% 
1-3 Months 35.00% 
1-30 Days 50.00% 
Intraday 0% 
Discretionary 100.00% 
Systematic 0% 
Index Award Type Rank Performance Period 
Agricultural Trader Index Month 6 1.53 3/2021 
Agricultural Trader Index Month 2 5.38 1/2021 
Discretionary Trader Index Month 3 5.38 1/2021 
IASG CTA Index Month 5 5.38 1/2021 
Agricultural Trader Index Month 7 4.42 12/2020 
Discretionary Trader Index Month 4 3.02 10/2020 
Agricultural Trader Index Month 2 3.02 10/2020 
Discretionary Trader Index Month 4 3.44 6/2020 
Agricultural Trader Index Month 3 3.44 6/2020 
Agricultural Trader Index Month 6 1.38 5/2020 
IASG CTA Index Month 8 7.30 4/2020 
Discretionary Trader Index Month 4 7.30 4/2020 
Agricultural Trader Index Month 1 7.30 4/2020 
Agricultural Trader Index Month 1 7.30 4/2020 
Discretionary Trader Index Month 4 7.30 4/2020 
IASG CTA Index Month 8 7.30 4/2020 
Discretionary Trader Index Month 6 10.57 3/2020 
Agricultural Trader Index Month 2 10.57 3/2020 
Agricultural Trader Index Month 7 0.41 2/2020 
Agricultural Trader Index Month 4 0.83 11/2019 
Agricultural Trader Index Month 10 1.15 9/2019 
Discretionary Trader Index Month 4 6.58 3/2019 
Agricultural Trader Index Month 1 6.58 3/2019 
Agricultural Trader Index Month 7 0.78 10/2018 
Agricultural Trader Index Month 7 0.87 8/2018 
Agricultural Trader Index Month 5 2.54 7/2018 
Discretionary Trader Index Month 9 2.54 7/2018 
Agricultural Trader Index Month 5 1.91 6/2018 
Agricultural Trader Index Month 7 0.95 5/2018 
Agricultural Trader Index Month 10 0.67 2/2018 
Agricultural Trader Index Month 4 2.61 1/2018 
Agricultural Trader Index Month 3 3.10 9/2017 
Discretionary Trader Index Month 7 3.10 9/2017 
IASG CTA Index Month 9 3.10 9/2017 
Agricultural Trader Index Month 5 1.25 8/2017 
Discretionary Trader Index Month 6 2.51 7/2017 
Agricultural Trader Index Month 4 2.51 7/2017 
Discretionary Trader Index Month 7 3.75 6/2017 
Agricultural Trader Index Month 8 3.75 6/2017 
IASG CTA Index Month 10 3.75 6/2017 
Agricultural Trader Index Month 4 2.33 5/2017 
Agricultural Trader Index Month 1 4.52 2/2017 
Discretionary Trader Index Month 2 4.52 2/2017 
IASG CTA Index Month 7 4.52 2/2017 
IASG CTA Index Month 8 4.43 9/2016 
Agricultural Trader Index Month 2 4.43 9/2016 
Discretionary Trader Index Month 5 4.43 9/2016 
Agricultural Trader Index Month 2 4.20 7/2016 
Discretionary Trader Index Month 6 4.20 7/2016 
Agricultural Trader Index Month 9 0.82 12/2015 
Agricultural Trader Index Month 10 0.10 10/2015 
Agricultural Trader Index Month 3 5.20 1/2015 
Agricultural Trader Index Month 9 0.77 11/2014 
Discretionary Trader Index Month 10 5.39 7/2014 
Agricultural Trader Index Month 7 5.39 7/2014 
Agricultural Trader Index Month 8 2.27 5/2014 
Agricultural Trader Index Month 3 2.56 3/2014 
Agricultural Trader Index Month 1 7.12 2/2014 
Discretionary Trader Index Month 5 7.12 2/2014 
Agricultural Trader Index Month 6 1.69 1/2014 
Agricultural Trader Index Month 9 0.45 11/2013 
Agricultural Trader Index Month 10 1.19 9/2013 
Agricultural Trader Index Month 6 3.32 7/2013 
Agricultural Trader Index Month 4 4.73 6/2013 
Agricultural Trader Index Month 9 1.70 4/2013 
Agricultural Trader Index Month 6 1.21 1/2013 
Agricultural Trader Index Month 5 1.65 10/2012 
Agricultural Trader Index Month 6 15.51 7/2012 
Discretionary Trader Index Month 7 15.51 7/2012 
Agricultural Trader Index Month 8 1.40 1/2012 
Agricultural Trader Index Month 8 2.42 10/2011 
Agricultural Trader Index Month 9 1.67 7/2011 
Agricultural Trader Index Month 8 2.75 4/2011 
Agricultural Trader Index Month 4 5.81 3/2011 
Discretionary Trader Index Month 9 5.81 3/2011 
Agricultural Trader Index Month 4 9.07 2/2011 
Discretionary Trader Index Month 5 9.07 2/2011 
Agricultural Trader Index Month 9 4.44 12/2010 
Agricultural Trader Index Month 2 35.92 10/2010 
IASG CTA Index Month 2 35.92 10/2010 
Discretionary Trader Index Month 2 35.92 10/2010 
Agricultural Trader Index Month 8 6.21 9/2010 
Agricultural Trader Index Month 4 7.65 8/2010 
Discretionary Trader Index Month 7 7.65 8/2010 
Agricultural Trader Index Month 4 4.49 7/2010 
Discretionary Trader Index Month 2 11.32 4/2010 
Agricultural Trader Index Month 1 11.32 4/2010 
IASG CTA Index Month 7 11.32 4/2010 
Program Name CAROR 
Livestock & Grain Trading Program 9.02% 
Fundamental 50.00%
Option-purchasing 25.00%
Spreading/hedging 25.00%
Livestock 75.00%
Grains 25.00%
Annualized Vol 17.14%
Sharpe (RFR=1%) 0.53
CAROR 9.02%
Assets $ 15.6M
Worst DD -20.92
S&P  Correlation 0.12
