Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec YTD DD 
2021 -1.66 3.38 1.64 7.66 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 11.25 -1.66 
2020 0.17 -5.77 7.79 0.43 -2.87 -3.47 -1.20 1.67 -5.22 -0.22 -0.43 8.01 -2.12 -11.31 
2019 -3.44 1.59 10.88 1.57 0.99 4.28 4.89 12.10 -11.16 -6.04 2.86 -0.47 16.91 -16.53 
2018 10.72 -19.66 -0.38 5.80 -6.78 1.38 -1.54 3.71 2.63 -11.96 -5.85 3.96 -19.98 -30.48 
2017 -0.51 5.87 -0.94 -0.29 -0.74 -3.14 -2.54 -0.48 0.23 14.11 3.38 6.14 21.75 -7.89 
2016 4.16 2.52 -4.04 -3.38 0.16 12.42 0.38 -3.54 1.46 -12.18 -3.72 2.17 -5.39 -17.25 
2015 8.52 -3.87 9.30 -10.78 4.65 -10.72 16.60 -2.41 4.97 -3.85 6.10 -4.24 10.91 -16.64 
2014 -4.35 -1.76 -1.91 2.23 -2.33 4.04 -1.12 9.83 7.04 0.22 13.43 7.22 35.67 -7.97 
2013 -0.23 16.79 3.22 10.59 -6.67 -1.66 -0.45 -4.81 -4.56 5.81 10.00 4.40 34.16 -16.99 
2012 -3.10 -4.96 -2.96 2.77 7.69 -13.23 4.53 -4.17 -4.37 -6.59 3.23 2.64 -18.63 -23.21 
2011 3.69 6.17 -12.06 11.78 -10.05 -12.59 19.93 10.40 -2.64 -9.00 5.26 1.25 6.37 -22.71 
2010 -6.61 3.97 9.83 4.22 -7.26 5.02 -4.39 16.96 -1.44 8.22 -8.73 10.95 30.74 -8.73 
2009 0.89 3.07 -3.05 -4.65 -1.08 -4.98 1.84 3.16 4.54 -4.14 11.00 -5.84 -0.58 -13.11 
2008 19.94 29.55 -10.13 -6.55 1.67 3.56 -10.18 -9.26 1.02 21.09 7.77 2.59 51.45 -27.93 
2007 6.21 -8.30 -3.36 8.22 11.77 7.39 -17.75 -22.63 16.90 3.00 7.78 6.55 7.58 -36.36 
2006 -3.63 -1.37 12.42 9.38 -7.78 -1.63 -5.69 -8.76 -5.22 5.93 4.33 7.86 3.08 -26.01 
2005 -4.09 -6.72 -4.04 -15.01 13.03 12.23 -1.89 -5.46 -3.51 -0.94 6.00 -3.88 -16.39 -27.04 
2004 -2.86 8.38 2.90 -18.35 -6.84 -9.86 -5.16 9.29 1.58 7.93 5.32 -0.69 -11.71 -34.97 
2003 6.94 13.83 -22.44 1.57 9.45 -8.07 -4.75 16.70 -7.63 -4.23 -4.45 -4.47 -13.40 -28.86 
2002 3.03 -8.07 2.39 -5.71 5.41 24.24 14.82 10.50 9.10 -12.27 -12.70 21.34 54.05 -23.41 
2001 7.72 0.55 6.26 -8.96 -0.91 -8.31 0.09 6.47 1.13 20.74 -23.52 6.73 1.12 -23.52 
2000 6.85 -2.94 -17.34 -12.36 -7.59 -3.95 0.56 3.29 -9.70 9.12 28.04 29.39 13.07 -41.46 
1999 -13.18 3.91 4.22 4.09 7.63 9.61 0.52 5.77 3.60 -7.01 1.35 -5.44 13.33 -13.18 
1998 4.25 -5.30 3.99 -11.05 -4.76 -0.38 -1.37 27.51 16.18 3.79 -13.72 0.32 13.73 -18.03 
1997 17.83 -0.15 2.21 -6.47 -5.88 10.38 16.84 -10.21 6.45 -0.64 9.82 1.55 44.60 -11.97 
1996 15.78 -13.33 9.55 9.17 -1.18 0.60 -12.40 -5.20 12.55 20.28 26.94 -7.09 58.19 -17.44 
1995 0.49 13.71 24.41 3.80 -2.60 -3.59 0.63 18.46 -6.52 10.82 11.16 4.44 98.66 -6.52 
1994 -1.71 -5.34 14.90 6.97 5.21 3.29 -13.38 -17.67 -4.68 -1.02 0.74 -4.22 -19.32 -35.08 
1993 2.90 13.99 -3.28 12.37 3.76 0.58 7.41 8.42 -5.02 1.59 1.03 6.10 60.25 -5.02 
1992 -14.53 -0.90 4.04 -15.10 -0.36 13.04 11.43 9.18 -8.23 -5.42 -4.30 -8.15 -21.78 -25.45 
1991 -7.05 -4.51 10.30 -4.49 -4.99 -0.46 -2.54 9.93 9.23 -14.93 1.20 31.22 16.91 -14.93 
1990 23.45 5.35 6.11 6.80 -11.23 3.99 1.37 2.07 3.76 -0.40 5.44 -1.19 51.57 -11.23 
1989 21.10 -4.23 9.30 6.09 20.02 3.21 8.15 -13.02 -1.56 -16.65 7.34 -5.42 30.54 -28.63 
1988 0.73 4.34 -6.55 -2.47 3.88 -0.56 -1.83 -2.65 1.98 1.92 -0.72 -16.70 -18.71 -22.66 
1987 8.81 -1.75 7.18 31.63 -2.69 -4.61 5.97 -2.98 5.50 -5.59 17.76 1.96 72.14 -7.18 
1986 -1.50 24.55 11.93 -5.59 -5.98 -13.98 -4.20 12.45 0.64 -2.79 -6.18 -0.11 3.56 -26.85 
1985 6.23 10.03 -7.25 -13.09 21.66 -6.79 -8.36 -13.48 -30.68 6.69 13.61 10.02 -21.69 -49.76 
1984 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -10.95 18.01 5.09 -10.95 
Program / Index Apr Qtr YTD 1yr 3yr 5yr 10yr Since11/1984 
"World Monetary and Agriculture Program (WMA) 7.66 13.12 11.25 6.56 8.64 18.51 89.43 8,131.58 "
"S&P 500 5.24 16.22 14.93 48.22 63.01 106.89 213.29 2,511.85 "
"+/- S&P 500 2.42 -3.10 -3.68 -41.66 -54.37 -88.38 -123.86 5,619.73 "
Type Fund 
Minimum Investment $ 100k 
Trading Level Incremental Increase $ 0k 
CTA Max Funding Factor  
Management Fee 0% 
Performance Fee 25.00% 
Average Commission $0 
Available to US Investors Yes 
High Water Mark Yes 
Subscription Frequency 1-7 Days 
Redemption Frequency 1-7 Days 
Investor Requirements QEP 
Lock-up Period 0 
Trading Frequency 1000 RT/YR/$M 
Avg. Margin-to-Equity 24% 
Targeted Worst DD  
Worst Peak-to-Trough 0% 
Sector Focus Diversified Traders 
Over 12 Months 0% 
4-12 Months 0% 
1-3 Months 0% 
1-30 Days 0% 
Intraday 0% 
Discretionary 0% 
Systematic 100.00% 
Index Award Type Rank Performance Period 
IASG CTA Index Month 1 16.60 7/2015 
Trend Following Strategy Index Month 1 16.60 7/2015 
Systematic Trader Index Month 1 16.60 7/2015 
Diversified Trader Index Month 1 16.60 7/2015 
Trend Following Strategy Index Month 5 4.65 5/2015 
Diversified Trader Index Month 6 4.65 5/2015 
Systematic Trader Index Month 7 4.65 5/2015 
IASG CTA Index Month 10 4.65 5/2015 
Trend Following Strategy Index Month 2 9.30 3/2015 
Systematic Trader Index Month 2 9.30 3/2015 
IASG CTA Index Month 3 9.30 3/2015 
Diversified Trader Index Month 4 9.30 3/2015 
IASG CTA Index Annual 8 34.16 2013 
Systematic Trader Index Month 6 10.00 11/2013 
IASG CTA Index Month 7 10.00 11/2013 
Diversified Trader Index Month 6 10.00 11/2013 
Trend Following Strategy Index Month 6 10.00 11/2013 
Trend Following Strategy Index Month 10 10.59 4/2013 
Systematic Trader Index Month 1 16.79 2/2013 
Diversified Trader Index Month 1 16.79 2/2013 
Trend Following Strategy Index Month 1 16.79 2/2013 
IASG CTA Index Month 1 16.79 2/2013 
Trend Following Strategy Index Month 9 3.23 11/2012 
Trend Following Strategy Index Month 10 5.26 11/2011 
Systematic Trader Index Month 2 19.93 7/2011 
Trend Following Strategy Index Month 2 19.93 7/2011 
Diversified Trader Index Month 2 19.93 7/2011 
IASG CTA Index Month 4 19.93 7/2011 
Trend Following Strategy Index Month 9 3.69 1/2011 
Trend Following Strategy Index Month 4 16.96 8/2010 
IASG CTA Index Month 6 16.96 8/2010 
Diversified Trader Index Month 4 16.96 8/2010 
Systematic Trader Index Month 5 16.96 8/2010 
Trend Following Strategy Index Month 7 3.07 2/2009 
Diversified Trader Index Month 4 29.55 2/2008 
Systematic Trader Index Month 4 29.55 2/2008 
Trend Following Strategy Index Month 4 29.55 2/2008 
IASG CTA Index Month 4 29.55 2/2008 
Trend Following Strategy Index Month 6 19.94 1/2008 
IASG CTA Index Month 7 19.94 1/2008 
Systematic Trader Index Month 7 19.94 1/2008 
Diversified Trader Index Month 7 19.94 1/2008 
Trend Following Strategy Index Month 8 7.78 11/2007 
Diversified Trader Index Month 8 7.78 11/2007 
Diversified Trader Index Month 10 7.39 6/2007 
Trend Following Strategy Index Month 8 7.39 6/2007 
IASG CTA Index Month 5 11.77 5/2007 
Diversified Trader Index Month 4 11.77 5/2007 
Systematic Trader Index Month 4 11.77 5/2007 
Trend Following Strategy Index Month 2 11.77 5/2007 
Trend Following Strategy Index Month 5 6.21 1/2007 
Diversified Trader Index Month 7 6.21 1/2007 
Systematic Trader Index Month 9 6.21 1/2007 
Trend Following Strategy Index Month 9 8.41 12/2006 
Diversified Trader Index Month 10 8.41 12/2006 
Systematic Trader Index Month 10 8.41 12/2006 
Trend Following Strategy Index Month 5 12.42 3/2006 
Systematic Trader Index Month 5 12.42 3/2006 
Diversified Trader Index Month 6 12.42 3/2006 
IASG CTA Index Month 6 12.42 3/2006 
IASG CTA Index Month 6 12.23 6/2005 
Systematic Trader Index Month 4 12.23 6/2005 
Diversified Trader Index Month 4 12.23 6/2005 
Trend Following Strategy Index Month 4 12.23 6/2005 
IASG CTA Index Month 3 13.03 5/2005 
Trend Following Strategy Index Month 3 13.03 5/2005 
Systematic Trader Index Month 3 13.03 5/2005 
Diversified Trader Index Month 3 13.03 5/2005 
Trend Following Strategy Index Month 6 7.93 10/2004 
Diversified Trader Index Month 7 7.93 10/2004 
IASG CTA Index Month 8 7.93 10/2004 
Systematic Trader Index Month 7 7.93 10/2004 
IASG CTA Index Month 4 9.29 8/2004 
Systematic Trader Index Month 2 9.29 8/2004 
Diversified Trader Index Month 2 9.29 8/2004 
Trend Following Strategy Index Month 1 9.29 8/2004 
Systematic Trader Index Month 1 16.70 8/2003 
Diversified Trader Index Month 2 16.70 8/2003 
Trend Following Strategy Index Month 2 16.70 8/2003 
IASG CTA Index Month 3 16.70 8/2003 
Diversified Trader Index Month 10 13.83 2/2003 
Trend Following Strategy Index Month 9 13.83 2/2003 
Systematic Trader Index Month 9 13.83 2/2003 
IASG CTA Index Month 10 13.83 2/2003 
IASG CTA Index Month 10 21.34 12/2002 
Trend Following Strategy Index Month 9 21.34 12/2002 
Diversified Trader Index Month 10 21.34 12/2002 
Systematic Trader Index Month 10 21.34 12/2002 
IASG CTA Index Annual 8 54.05 2002 
Trend Following Strategy Index Month 7 9.10 9/2002 
Systematic Trader Index Month 10 9.10 9/2002 
Diversified Trader Index Month 10 9.10 9/2002 
IASG CTA Index Month 9 10.50 8/2002 
Systematic Trader Index Month 8 10.50 8/2002 
Trend Following Strategy Index Month 7 10.50 8/2002 
Diversified Trader Index Month 7 10.50 8/2002 
IASG CTA Index Month 10 14.82 7/2002 
Systematic Trader Index Month 9 14.82 7/2002 
Diversified Trader Index Month 9 14.82 7/2002 
Trend Following Strategy Index Month 8 14.82 7/2002 
Program Name CAROR 
DUNN World Volatility Program (WVP) 13.44% 
World Monetary and Agriculture Program (WMA) 12.84% 
"D'Best Futures Fund, L.P. 9.75% "
DUNN WMA Institutional Program 4.37% 
Trend-following 100.00%
Interest Rates 26.00%
Stock Indices 21.00%
Grains 14.00%
Currency Futures 13.00%
Energy 11.00%
Softs 9.00%
Precious Metals 6.00%
Annualized Vol 32.25%
Sharpe (RFR=1%) 0.50
CAROR 12.84%
Assets $ 589.0M
Worst DD -57.88
S&P  Correlation -0.02
