Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec YTD DD 
2021 -1.31 -3.30 2.44 1.13 -1.13 -4.57 2020 3.13 -1.39 -11.14 0.95 0.44 0.34 1.70 
-0.99 -0.56 -0.73 -0.20 0.76 -8.10 -12.38 2019 1.88 1.05 5.29 0.25 1.52 4.38 1.55 
3.40 -2.89 -3.11 0.89 -0.36 14.36 -5.91 2018 1.57 -2.10 -0.67 0.30 -0.02 2.75 -1.23 
0.07 -0.60 -1.04 1.91 -2.99 -2.18 -3.88 2017 -1.78 3.88 -1.29 3.03 0.33 -2.62 0.19 
2.87 -4.04 1.12 1.48 0.42 3.32 -4.04 2016 4.33 7.80 -1.84 -3.75 -0.66 6.86 1.51 
-2.58 0.03 -5.58 0.33 1.75 7.55 -7.99 2015 4.86 0.06 1.33 -3.33 -0.13 -3.52 1.00 
-3.62 5.21 -1.11 -0.65 -2.78 -3.12 -9.33 2014 1.78 1.60 -1.34 1.16 4.62 0.74 -0.37 
3.70 0.27 1.56 4.02 0.25 19.34 -1.34 2013 0.30 -0.68 2.85 3.34 -6.35 -6.40 1.13 
-2.63 3.63 3.95 1.23 -4.21 -4.54 -13.68 2012 4.23 -1.95 -1.45 1.89 1.61 -2.45 8.65 
-1.69 -0.49 -3.37 0.90 1.69 7.19 -5.47 2011 -2.79 3.87 -1.51 8.99 1.17 -1.61 13.06 
7.49 0.80 -2.54 2.10 5.89 39.26 -2.79 2010 1.76 6.97 1.84 3.55 3.78 4.70 1.35 
9.41 -2.46 0.34 -5.24 2.77 31.82 -7.26 2009 -1.03 1.03 0.66 -4.92 -0.57 -2.88 0.28 
1.79 5.38 -0.94 8.50 -7.17 -0.82 -8.18 2008 4.25 5.95 0.49 -8.92 0.72 4.78 -4.85 
-6.90 0.58 -2.91 10.25 9.22 11.13 -16.85 2007 2.59 -1.37 0.84 4.87 2.57 0.93 -3.95 
-5.12 2.52 5.11 0.59 -0.09 9.33 -8.87 2006 0.78 -1.37 1.30 1.07 -2.58 0.11 -0.48 
4.71 -0.97 -0.33 3.45 0.97 6.63 -2.94 2005 -0.28 -0.71 0.91 1.11 2.77 3.47 -2.71 
0.68 -1.69 -3.60 3.88 -0.60 2.97 -7.17 2004 0.80 11.69 3.04 -14.22 -0.46 -2.61 0.96 
5.14 4.00 7.60 4.50 -0.65 18.97 -16.84 2003 8.61 7.37 -2.90 -0.05 10.45 -2.38 -6.52 
-4.12 1.99 -7.49 1.30 9.86 14.84 -17.45 2002 0.30 -3.01 0.44 8.60 15.20 5.25 17.90 
-8.73 -9.06 22.76 54.56 -17.00 
Program / Index Apr Qtr YTD 1yr 3yr 5yr 10yr Since3/2002 
Fort Global Diversified 1.13 0.18 -1.13 -0.41 2.60 6.30 71.69 585.37 
S&P 500 5.24 16.22 14.93 48.22 63.01 106.89 213.29 272.34 
+/- S&P 500 -4.11 -16.05 -16.06 -48.63 -60.41 -100.59 -141.60 313.02 
Type Fund 
"Minimum Investment $ 2,000k "
Trading Level Incremental Increase $ 50k 
CTA Max Funding Factor  
Management Fee 2.00% 
Performance Fee 20.00% 
Average Commission $0 
Available to US Investors Yes 
High Water Mark Yes 
Subscription Frequency 1-7 Days 
Redemption Frequency 1-7 Days 
Investor Requirements QEP 
Lock-up Period 0 
Trading Frequency 1200 RT/YR/$M 
Avg. Margin-to-Equity 13% 
Targeted Worst DD  
Worst Peak-to-Trough  
Sector Focus Diversified Traders 
Over 12 Months 0% 
4-12 Months 0% 
1-3 Months 0% 
1-30 Days 0% 
Intraday 0% 
Discretionary 0% 
Systematic 100.00% 
Index Award Type Rank Performance Period 
Diversified Trader Index Month 10 3.00 4/2017 
IASG CTA Index Month 8 7.61 2/2016 
IASG CTA Index 5 Year 9 128.68 2009 - 2014 
Systematic Trader Index Month 8 5.90 12/2011 
Diversified Trader Index Month 7 5.90 12/2011 
Systematic Trader Index Month 9 7.36 2/2010 
Diversified Trader Index Month 9 7.36 2/2010 
Diversified Trader Index Month 9 9.25 12/2008 
Systematic Trader Index Month 9 9.25 12/2008 
Diversified Trader Index Month 9 4.76 8/2006 
Systematic Trader Index Month 10 4.76 8/2006 
IASG CTA Index 5 Year 8 152.06 2000 - 2005 
Systematic Trader Index Month 8 7.46 10/2004 
IASG CTA Index Month 10 7.46 10/2004 
Diversified Trader Index Month 9 7.46 10/2004 
IASG CTA Index Month 9 5.18 8/2004 
Diversified Trader Index Month 6 5.18 8/2004 
Systematic Trader Index Month 5 5.18 8/2004 
IASG CTA Index 3 Year 8 103.56 2000 - 2003 
IASG CTA Index Annual 6 56.01 2002 
IASG CTA Index 5 Year 6 166.84 1997 - 2002 
IASG CTA Index Month 9 22.59 12/2002 
Systematic Trader Index Month 9 22.59 12/2002 
Diversified Trader Index Month 9 22.59 12/2002 
IASG CTA Index 3 Year 10 92.41 1999 - 2002 
Systematic Trader Index Month 3 17.99 9/2002 
Diversified Trader Index Month 3 17.99 9/2002 
IASG CTA Index Month 3 17.99 9/2002 
IASG CTA Index Month 8 15.28 7/2002 
Diversified Trader Index Month 7 15.28 7/2002 
Systematic Trader Index Month 7 15.28 7/2002 
Diversified Trader Index Month 4 1.70 2/2002 
Systematic Trader Index Month 5 1.70 2/2002 
IASG CTA Index Month 9 1.70 2/2002 
Systematic Trader Index Month 6 16.18 10/2001 
Diversified Trader Index Month 6 16.18 10/2001 
IASG CTA Index Month 7 16.18 10/2001 
Systematic Trader Index Month 7 4.61 1/2001 
Diversified Trader Index Month 8 4.61 1/2001 
IASG CTA Index Month 10 4.61 1/2001 
IASG CTA Index Month 9 4.49 1/2000 
Systematic Trader Index Month 8 4.49 1/2000 
Diversified Trader Index Month 7 4.49 1/2000 
IASG CTA Index 5 Year 5 195.80 1994 - 1999 
Diversified Trader Index Month 6 3.41 5/1999 
Systematic Trader Index Month 6 3.41 5/1999 
IASG CTA Index Month 7 3.41 5/1999 
IASG CTA Index 3 Year 6 120.61 1995 - 1998 
IASG CTA Index 5 Year 3 246.72 1993 - 1998 
Diversified Trader Index Month 1 17.00 12/1998 
IASG CTA Index Month 2 17.00 12/1998 
IASG CTA Index Annual 2 48.17 1998 
Systematic Trader Index Month 1 17.00 12/1998 
Systematic Trader Index Month 1 14.43 10/1998 
Diversified Trader Index Month 1 14.43 10/1998 
IASG CTA Index Month 1 14.43 10/1998 
Diversified Trader Index Month 6 3.64 7/1998 
Systematic Trader Index Month 5 3.64 7/1998 
IASG CTA Index Month 8 3.64 7/1998 
Systematic Trader Index Month 7 8.08 5/1998 
IASG CTA Index Month 7 8.08 5/1998 
Diversified Trader Index Month 7 8.08 5/1998 
Systematic Trader Index Month 10 3.43 3/1998 
IASG CTA Index 3 Year 10 113.29 1994 - 1997 
Systematic Trader Index Month 10 2.25 11/1997 
Systematic Trader Index Month 4 3.48 10/1997 
IASG CTA Index Month 4 3.48 10/1997 
Diversified Trader Index Month 3 3.48 10/1997 
IASG CTA Index Annual 4 52.45 1996 
IASG CTA Index 3 Year 3 139.60 1993 - 1996 
Diversified Trader Index Month 10 -1.10 12/1996 
Systematic Trader Index Month 9 -1.10 12/1996 
IASG CTA Index Sharpe 9 1.42 1996 
Systematic Trader Index Month 3 3.66 8/1996 
Diversified Trader Index Month 6 3.66 8/1996 
