Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec YTD DD 
2021 -4.24 -11.87 -0.07 -15.67 -15.67 2020 -0.39 -16.28 -1.88 -10.82 1.39 0.30 14.38 7.91 
-5.13 -8.84 -12.06 -6.11 -34.60 -34.60 2019 -0.22 -0.29 -0.24 -0.15 0.79 6.28 2.67 -4.59 
12.90 13.44 -7.04 8.46 34.28 -7.04 2018 0.10 -0.70 -6.87 0.39 -5.10 -19.63 -1.52 -3.16 
-0.64 -0.43 -0.63 -0.50 -33.88 -33.94 2017 2.96 -3.53 -9.91 -0.37 -8.87 -2.45 1.35 0.54 
-0.81 0.69 1.21 -5.15 -22.57 -24.80 2016 -2.01 -0.63 4.44 5.41 -15.69 20.97 -1.95 -6.51 
7.33 -4.44 -0.15 -6.99 -4.54 -15.69 2015 -0.01 1.09 1.46 0.91 2.43 2.85 0.70 3.17 
1.56 -1.86 -7.15 1.18 6.06 -8.88 2014 7.84 5.85 14.43 6.78 -9.20 -4.56 -8.76 1.42 
2.37 1.78 -8.31 14.84 22.71 -23.39 2013 1.93 -8.98 -0.96 -6.82 -12.75 5.63 3.35 8.61 
-0.24 0.00 0.00 0.00 -11.64 -26.71 2012 -4.11 3.25 1.47 -0.63 12.45 -2.56 -0.91 2.38 
0.44 -3.11 -3.46 0.25 4.51 -7.13 2011 -1.58 -13.08 5.24 -1.89 -11.70 -1.89 23.99 11.24 
1.35 -1.01 -11.21 8.93 2.41 -23.48 2010 10.17 -7.40 4.39 2.97 2.05 -0.36 9.78 2.25 
8.15 1.86 1.29 -3.20 35.19 -7.40 2009 -7.68 -1.37 -6.64 -5.03 17.78 -5.46 -4.76 -0.22 
-2.10 -2.57 9.09 -8.83 -18.96 -19.27 2008 8.55 27.83 -10.00 -5.58 1.33 3.12 -15.37 11.39 
15.41 33.62 6.81 7.69 106.03 -24.85 2007 0.00 -0.13 1.13 6.27 6.08 1.22 0.26 15.55 
-0.13 
Program / Index Mar Qtr YTD 1yr 3yr 5yr 10yr Since6/2007 
Thales Swing Trading Programme -0.07 -11.93 -15.67 -24.41 -47.30 -66.23 -49.56 16.21 
S&P 500 4.24 9.21 9.21 58.70 55.31 97.12 206.17 184.18 
+/- S&P 500 -4.31 -21.14 -24.87 -83.12 -102.61 -163.35 -255.72 -167.97 
Type Managed Account 
Minimum Investment $ 250k 
Trading Level Incremental Increase $ 0k 
CTA Max Funding Factor 2.00 
Management Fee 2.00% 
Performance Fee 20.00% 
Average Commission $30.00 
Available to US Investors No 
High Water Mark Yes 
Subscription Frequency Daily 
Redemption Frequency Daily 
Investor Requirements QEP 
Lock-up Period 0 
Trading Frequency 5760 RT/YR/$M 
Avg. Margin-to-Equity 16% 
Targeted Worst DD -35.00% 
Worst Peak-to-Trough 29.15% 
Sector Focus Diversified Traders 
Over 12 Months 0% 
4-12 Months 3.00% 
1-3 Months 15.00% 
1-30 Days 80.00% 
Intraday 2.00% 
Discretionary 15.00% 
Systematic 85.00% 
Index Award Type Rank Performance Period 
Systematic Trader Index Month 5 7.91 8/2020 
Diversified Trader Index Month 5 7.91 8/2020 
IASG CTA Index Month 8 7.91 8/2020 
IASG CTA Index Month 7 14.38 7/2020 
Systematic Trader Index Month 7 14.38 7/2020 
Diversified Trader Index Month 7 14.38 7/2020 
IASG CTA Index Annual 6 34.28 2019 
Systematic Trader Index Month 4 8.46 12/2019 
Diversified Trader Index Month 4 8.46 12/2019 
IASG CTA Index Month 4 8.46 12/2019 
IASG CTA Index Month 1 13.44 10/2019 
Systematic Trader Index Month 1 13.44 10/2019 
Diversified Trader Index Month 1 13.44 10/2019 
Diversified Trader Index Month 1 12.90 9/2019 
IASG CTA Index Month 1 12.90 9/2019 
Systematic Trader Index Month 1 12.90 9/2019 
Diversified Trader Index Month 9 2.96 1/2017 
Systematic Trader Index Month 5 7.33 9/2016 
IASG CTA Index Month 5 7.33 9/2016 
Diversified Trader Index Month 4 7.33 9/2016 
Trend Following Strategy Index Month 4 7.33 9/2016 
Trend Following Strategy Index Month 1 20.97 6/2016 
IASG CTA Index Month 1 20.97 6/2016 
Systematic Trader Index Month 1 20.97 6/2016 
Diversified Trader Index Month 1 20.97 6/2016 
Trend Following Strategy Index Month 5 5.41 4/2016 
Systematic Trader Index Month 9 5.41 4/2016 
IASG CTA Index Month 9 5.41 4/2016 
Diversified Trader Index Month 9 5.41 4/2016 
Diversified Trader Index Month 10 4.44 3/2016 
IASG CTA Index Month 8 4.44 3/2016 
Trend Following Strategy Index Month 4 4.44 3/2016 
Trend Following Strategy Index Month 8 1.18 12/2015 
Diversified Trader Index Month 9 2.85 6/2015 
Trend Following Strategy Index Month 4 2.85 6/2015 
IASG CTA Index Month 2 14.60 12/2014 
Diversified Trader Index Month 2 14.60 12/2014 
Trend Following Strategy Index Month 2 14.60 12/2014 
Systematic Trader Index Month 2 14.60 12/2014 
Trend Following Strategy Index Month 2 8.86 4/2014 
Systematic Trader Index Month 3 8.86 4/2014 
IASG CTA Index Month 5 8.86 4/2014 
Diversified Trader Index Month 4 8.86 4/2014 
Diversified Trader Index Month 1 16.47 3/2014 
Systematic Trader Index Month 1 16.47 3/2014 
IASG CTA Index Month 1 16.47 3/2014 
Trend Following Strategy Index Month 1 16.47 3/2014 
Trend Following Strategy Index Month 2 7.84 1/2014 
Systematic Trader Index Month 5 7.84 1/2014 
Diversified Trader Index Month 4 7.84 1/2014 
IASG CTA Index Month 8 7.84 1/2014 
Diversified Trader Index Month 9 4.35 8/2013 
Systematic Trader Index Month 9 4.35 8/2013 
Trend Following Strategy Index Month 4 4.35 8/2013 
Trend Following Strategy Index Month 10 4.21 6/2013 
Diversified Trader Index Month 4 8.39 12/2011 
IASG CTA Index Month 7 8.39 12/2011 
Systematic Trader Index Month 5 8.39 12/2011 
Trend Following Strategy Index Month 1 8.39 12/2011 
Systematic Trader Index Month 3 18.35 7/2011 
Diversified Trader Index Month 3 18.35 7/2011 
Trend Following Strategy Index Month 3 18.35 7/2011 
IASG CTA Index Month 5 18.35 7/2011 
