Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec YTD DD 
2021 0.48 -0.50 0.13 0.54 0.65 -0.50 2020 1.60 0.41 1.10 0.06 0.43 0.58 0.12 
0.05 -2.24 -0.02 -0.10 0.02 1.98 -2.36 2019 0.12 -0.22 -1.29 -0.56 0.73 -0.02 -0.03 
0.00 -0.36 -0.10 1.32 -0.03 -0.46 -2.06 2018 -0.11 0.26 0.57 0.56 0.02 1.36 1.22 
-1.68 -0.09 -0.05 -0.02 -0.07 1.95 -1.91 2017 0.20 -0.39 0.12 -0.21 0.03 0.04 0.09 
0.65 0.96 -0.49 0.32 0.26 1.58 -0.49 2016 -0.38 0.23 0.05 0.90 -0.07 0.13 1.26 
-0.14 0.05 -0.84 -0.21 -1.48 -0.53 -2.60 2015 0.14 -0.30 -0.97 1.39 -0.48 -0.70 1.70 
-0.17 -3.87 -0.29 -0.22 -0.27 -4.07 -4.78 2014 2.51 4.98 2.56 1.14 1.41 3.24 1.20 
-2.18 1.99 0.33 0.20 -0.62 17.89 -2.18 2013 0.19 0.76 0.93 -0.04 0.25 0.95 -0.32 
1.44 0.50 -0.38 -0.39 -0.96 2.94 -1.72 2012 -0.62 -0.45 6.54 -1.53 2.26 2.96 4.50 
4.64 2.10 1.89 -1.40 -1.38 20.88 -2.76 2011 7.68 5.54 15.19 -2.36 -2.40 1.28 13.23 
6.67 7.24 -3.98 0.79 7.31 69.96 -4.70 2010 7.66 5.05 -0.48 9.73 -3.72 0.71 0.25 
15.26 6.97 19.97 6.90 1.40 92.49 -3.72 2009 -2.32 -3.94 0.88 4.75 8.74 -1.34 -6.24 
9.56 5.32 2.63 6.49 13.18 42.35 -7.50 2008 9.42 28.54 76.51 7.40 8.34 15.49 18.79 
30.63 6.01 0.46 2.66 11.52 531.19 0.00 2007 14.03 24.82 3.47 2.49 -0.63 2.55 -17.27 
0.76 9.09 4.69 -7.42 25.17 69.69 -17.27 2006 18.95 -0.17 -0.17 -4.15 13.39 -0.13 9.15 
40.45 -4.48 
Program / Index Apr Qtr YTD 1yr 3yr 5yr 10yr Since6/2006 
"HPX Old School Program 0.54 0.17 0.65 -0.54 2.84 4.42 96.96 10,277.08 "
S&P 500 5.24 16.22 14.93 48.22 63.01 106.89 213.29 236.34 
"+/- S&P 500 -4.70 -16.06 -14.28 -48.76 -60.16 -102.47 -116.33 10,040.74 "
Type Managed Account 
Minimum Investment $ 200k 
Trading Level Incremental Increase $ 200k 
CTA Max Funding Factor 2.00 
Management Fee 2.00% 
Performance Fee 20.00% 
Average Commission $12.00 
Available to US Investors Yes 
High Water Mark Yes 
Subscription Frequency Daily 
Redemption Frequency Daily 
Investor Requirements QEP 
Lock-up Period 0 
Trading Frequency 1500 RT/YR/$M 
Avg. Margin-to-Equity 0% 
Targeted Worst DD  
Worst Peak-to-Trough  
Sector Focus Agricultural Traders 
Over 12 Months 0% 
4-12 Months 0% 
1-3 Months 0% 
1-30 Days 0% 
Intraday 0% 
Discretionary 100.00% 
Systematic 0% 
Index Award Type Rank Performance Period 
Agricultural Trader Index Month 7 0.05 8/2020 
Agricultural Trader Index Month 4 0.12 7/2020 
Agricultural Trader Index Month 4 1.10 3/2020 
Agricultural Trader Index Month 6 0.41 2/2020 
Agricultural Trader Index Month 6 1.60 1/2020 
Discretionary Trader Index Month 7 1.60 1/2020 
Agricultural Trader Index Month 1 1.32 11/2019 
Discretionary Trader Index Month 8 1.32 11/2019 
Agricultural Trader Index Month 5 0.00 8/2019 
Agricultural Trader Index Month 8 0.12 1/2019 
Agricultural Trader Index Month 9 -0.02 11/2018 
Agricultural Trader Index Month 10 -0.09 9/2018 
Agricultural Trader Index Month 7 1.36 6/2018 
Agricultural Trader Index Month 8 0.56 4/2018 
Agricultural Trader Index Month 10 0.57 3/2018 
Agricultural Trader Index Month 5 0.96 9/2017 
Agricultural Trader Index Month 7 0.65 8/2017 
Agricultural Trader Index Month 10 1.26 7/2016 
Agricultural Trader Index Month 7 0.90 4/2016 
Agricultural Trader Index Month 10 0.05 3/2016 
IASG CTA Index Sharpe 9 1.53 2015 
IASG CTA Index 5 Year 5 139.18 2010 - 2015 
Agricultural Trader Index Month 10 1.70 7/2015 
Agricultural Trader Index Month 8 1.39 4/2015 
Agricultural Trader Index Month 10 -0.30 2/2015 
IASG CTA Index 5 Year 1 379.91 2009 - 2014 
Agricultural Trader Index Month 7 0.33 10/2014 
Agricultural Trader Index Month 9 3.24 6/2014 
Agricultural Trader Index Month 6 1.14 4/2014 
Agricultural Trader Index Month 4 2.56 3/2014 
Agricultural Trader Index Month 3 4.98 2/2014 
Discretionary Trader Index Month 9 4.98 2/2014 
Agricultural Trader Index Month 3 2.51 1/2014 
IASG CTA Index 5 Year 3 479.52 2008 - 2013 
IASG CTA Index 3 Year 6 111.49 2010 - 2013 
Agricultural Trader Index Month 8 1.44 8/2013 
Agricultural Trader Index Month 9 0.25 5/2013 
Agricultural Trader Index Month 4 0.93 3/2013 
"IASG CTA Index 5 Year 1 3,453.29 2007 - 2012 "
IASG CTA Index 3 Year 2 295.46 2009 - 2012 
Agricultural Trader Index Month 4 1.89 10/2012 
Agricultural Trader Index Month 5 2.10 9/2012 
Agricultural Trader Index Month 6 4.64 8/2012 
Agricultural Trader Index Month 4 2.26 5/2012 
Discretionary Trader Index Month 5 6.54 3/2012 
Agricultural Trader Index Month 3 6.54 3/2012 
IASG CTA Index 3 Year 2 365.72 2008 - 2011 
Agricultural Trader Index Month 1 7.31 12/2011 
"IASG CTA Index 5 Year 1 4,888.10 2006 - 2011 "
Discretionary Trader Index Month 5 7.31 12/2011 
IASG CTA Index Annual 4 69.96 2011 
IASG CTA Index Month 10 7.31 12/2011 
Discretionary Trader Index Month 8 7.24 9/2011 
Agricultural Trader Index Month 1 7.24 9/2011 
Agricultural Trader Index Month 2 6.67 8/2011 
Discretionary Trader Index Month 7 6.67 8/2011 
Discretionary Trader Index Month 4 13.23 7/2011 
Agricultural Trader Index Month 3 13.23 7/2011 
Agricultural Trader Index Month 3 1.28 6/2011 
Agricultural Trader Index Month 2 15.19 3/2011 
IASG CTA Index Month 3 15.19 3/2011 
Discretionary Trader Index Month 2 15.19 3/2011 
Agricultural Trader Index Month 5 5.54 2/2011 
Discretionary Trader Index Month 6 7.68 1/2011 
Agricultural Trader Index Month 4 7.68 1/2011 
IASG CTA Index Month 9 7.68 1/2011 
IASG CTA Index Annual 2 92.49 2010 
"IASG CTA Index 3 Year 1 1,629.57 2007 - 2010 "
Agricultural Trader Index Month 1 6.90 11/2010 
Discretionary Trader Index Month 1 6.90 11/2010 
IASG CTA Index Month 5 6.90 11/2010 
Discretionary Trader Index Month 5 19.97 10/2010 
Agricultural Trader Index Month 5 19.97 10/2010 
IASG CTA Index Month 8 19.97 10/2010 
Agricultural Trader Index Month 7 6.97 9/2010 
IASG CTA Index Month 10 15.26 8/2010 
Discretionary Trader Index Month 2 15.26 8/2010 
Agricultural Trader Index Month 2 15.26 8/2010 
Agricultural Trader Index Month 9 0.25 7/2010 
Agricultural Trader Index Month 2 9.73 4/2010 
Discretionary Trader Index Month 3 9.73 4/2010 
Agricultural Trader Index Month 2 5.05 2/2010 
Discretionary Trader Index Month 10 5.05 2/2010 
Discretionary Trader Index Month 3 7.66 1/2010 
Agricultural Trader Index Month 3 7.66 1/2010 
IASG CTA Index Month 7 7.66 1/2010 
IASG CTA Index Month 4 13.18 12/2009 
"IASG CTA Index 3 Year 2 1,424.68 2006 - 2009 "
Agricultural Trader Index Month 1 13.18 12/2009 
Discretionary Trader Index Month 1 13.18 12/2009 
Agricultural Trader Index Month 2 6.49 11/2009 
Agricultural Trader Index Month 4 2.63 10/2009 
Agricultural Trader Index Month 3 5.32 9/2009 
Discretionary Trader Index Month 9 5.32 9/2009 
Agricultural Trader Index Month 2 9.56 8/2009 
Discretionary Trader Index Month 6 9.56 8/2009 
Agricultural Trader Index Month 3 8.74 5/2009 
Discretionary Trader Index Month 8 8.74 5/2009 
Discretionary Trader Index Month 9 4.75 4/2009 
Agricultural Trader Index Month 2 4.75 4/2009 
Program Name CAROR 
HPX Old School Program 36.51% 
Fundamental 80.00%
Technical 20.00%
Livestock 100.00%
Annualized Vol 28.43%
Sharpe (RFR=1%) 1.19
CAROR 36.51%
Assets $ 9.0M
Worst DD -17.27
S&P  Correlation -0.06
