Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec YTD DD 
2021 -3.34 9.25 4.82 4.05 15.17 -3.34 2020 0.57 0.81 0.96 -2.79 -5.64 -3.71 0.69 
-3.57 -0.56 2.11 -10.05 4.52 -16.20 -21.67 2019 -4.99 -0.37 5.17 1.25 -0.88 5.09 3.20 
11.06 -5.88 -0.19 4.90 0.10 18.71 -6.06 2018 13.82 -10.07 -3.63 -0.84 0.99 -0.24 -3.79 
3.29 -2.19 -9.95 -0.69 6.09 -9.12 -24.74 2017 -4.74 2.74 0.57 -0.09 4.93 -2.89 2.60 
-4.90 -6.99 9.09 0.40 -1.14 -1.53 -11.87 2016 7.79 6.49 -4.40 -2.30 -0.52 1.82 0.95 
-2.00 -2.83 -4.60 0.72 5.74 6.07 -13.24 2015 5.72 1.14 -0.71 -3.59 -1.07 -3.80 -0.63 
-6.69 3.47 -2.03 -0.97 0.57 -8.81 -15.53 2014 -0.55 -3.80 -10.59 -1.48 2.64 0.47 -1.30 
7.26 5.96 -3.02 5.30 -0.93 -1.37 -15.73 2013 4.70 -2.32 0.60 2.78 10.15 -3.21 0.65 
-2.41 -0.54 1.42 2.78 0.62 15.52 -5.44 2012 -1.19 0.98 -3.28 0.86 12.80 -3.98 0.59 
-0.34 -2.54 -1.79 -2.91 -1.08 -2.85 -11.51 2011 -3.21 2.94 -2.93 1.92 -3.09 1.43 -1.04 
0.67 1.88 -6.21 -2.82 0.85 -9.60 -10.37 2010 -4.30 3.26 -1.17 1.60 5.78 3.17 -2.70 
3.58 -1.35 2.79 -1.60 0.87 9.84 -4.30 2009 1.58 0.63 -4.11 -1.41 3.89 -2.47 -1.15 
0.25 2.89 -4.14 2.05 -5.57 -7.78 -9.78 2008 1.32 2.78 2.56 -1.54 1.90 1.76 1.26 
-1.52 -1.08 1.21 2.77 3.04 15.28 -2.58 2007 1.79 -3.50 -3.35 4.55 4.05 -0.23 3.91 
3.12 2.19 2.42 2.09 1.33 19.54 -6.73 2006 -0.26 -1.41 0.09 2.05 3.23 0.51 0.84 
2.67 0.98 -0.54 5.31 -3.13 10.55 -3.13 2005 -3.73 1.72 3.20 4.10 1.58 1.47 -2.28 
3.90 1.83 1.21 -3.32 0.26 9.99 -3.73 2004 2.98 -2.70 0.13 5.26 0.42 -1.81 0.21 
0.43 1.09 0.28 0.84 -2.30 4.67 -2.70 2003 0.84 0.83 -0.32 -0.25 3.50 0.49 0.78 
-0.49 3.52 -1.16 -2.65 0.35 5.40 -3.78 2002 -0.61 -4.20 0.32 -3.52 1.72 0.82 4.90 
0.36 1.81 -1.09 1.57 -1.15 0.60 -7.84 2001 -3.53 6.03 10.45 1.74 -2.62 1.85 -1.61 
5.17 0.95 -0.20 -0.58 1.53 19.97 -3.53 2000 -7.02 2.71 3.44 4.10 -3.93 -0.15 -6.19 
0.68 3.18 0.80 6.05 2.65 5.49 -10.01 1999 -1.61 18.32 -6.49 -3.61 4.24 1.49 9.20 
2.73 -3.64 -2.09 -1.05 4.22 21.16 -9.87 1998 6.23 12.94 2.77 3.96 -0.44 5.21 -1.38 
-2.97 2.16 10.30 44.78 -4.31 
Program / Index Apr Qtr YTD 1yr 3yr 5yr 10yr Since3/1998 
Kaiser Global Diversified Program - Class B 4.05 19.15 15.17 -3.00 6.44 1.42 0.65 314.88 
S&P 500 5.24 16.22 14.93 48.22 63.01 106.89 213.29 287.77 
+/- S&P 500 -1.19 2.93 0.24 -51.23 -56.57 -105.47 -212.64 27.11 
Type Managed Account 
"Minimum Investment $ 1,000k "
Trading Level Incremental Increase $ 0k 
CTA Max Funding Factor  
Management Fee 3.00% 
Performance Fee 20.00% 
Average Commission $0 
Available to US Investors Yes 
High Water Mark Yes 
Subscription Frequency 15-30 Days 
Redemption Frequency 15-30 Days 
Investor Requirements QEP 
Lock-up Period 0 
Trading Frequency 2100 RT/YR/$M 
Avg. Margin-to-Equity 5% 
Targeted Worst DD  
Worst Peak-to-Trough 16.42% 
Sector Focus Diversified Traders 
Over 12 Months 0% 
4-12 Months 0% 
1-3 Months 0% 
1-30 Days 0% 
Intraday 0% 
Discretionary 0% 
Systematic 100.00% 
Index Award Type Rank Performance Period 
Systematic Trader Index Month 10 5.23 5/2013 
Systematic Trader Index Month 3 4.10 4/2005 
Diversified Trader Index Month 3 4.10 4/2005 
IASG CTA Index Month 4 4.10 4/2005 
IASG CTA Index Month 3 5.26 4/2004 
Systematic Trader Index Month 1 5.26 4/2004 
Diversified Trader Index Month 1 5.26 4/2004 
Diversified Trader Index Month 9 -0.32 3/2003 
Diversified Trader Index Month 9 1.57 11/2002 
IASG CTA Index Sharpe 10 1.22 2001 
Diversified Trader Index Month 6 -0.58 11/2001 
Diversified Trader Index Month 6 1.74 4/2001 
IASG CTA Index Month 10 1.74 4/2001 
Systematic Trader Index Month 7 1.74 4/2001 
IASG CTA Index Month 3 6.03 2/2001 
Systematic Trader Index Month 2 6.03 2/2001 
Diversified Trader Index Month 2 6.03 2/2001 
Systematic Trader Index Month 5 3.18 9/2000 
Diversified Trader Index Month 4 3.18 9/2000 
IASG CTA Index Month 9 3.18 9/2000 
IASG CTA Index Month 9 4.10 4/2000 
Systematic Trader Index Month 9 4.10 4/2000 
Diversified Trader Index Month 8 4.10 4/2000 
Systematic Trader Index Month 6 3.44 3/2000 
Diversified Trader Index Month 3 3.44 3/2000 
IASG CTA Index Month 6 3.44 3/2000 
IASG CTA Index Sharpe 8 1.54 1999 
Diversified Trader Index Month 7 -2.09 10/1999 
Systematic Trader Index Month 10 -2.09 10/1999 
IASG CTA Index Month 2 9.20 7/1999 
Diversified Trader Index Month 2 9.20 7/1999 
Systematic Trader Index Month 2 9.20 7/1999 
Systematic Trader Index Month 4 4.24 5/1999 
Diversified Trader Index Month 4 4.24 5/1999 
IASG CTA Index Month 5 4.24 5/1999 
Systematic Trader Index Month 1 18.32 2/1999 
Diversified Trader Index Month 1 18.32 2/1999 
IASG CTA Index Month 1 18.32 2/1999 
Systematic Trader Index Month 3 10.29 12/1998 
Diversified Trader Index Month 5 10.29 12/1998 
IASG CTA Index Month 6 10.29 12/1998 
IASG CTA Index Sharpe 4 2.61 1998 
Diversified Trader Index Month 4 3.96 6/1998 
IASG CTA Index Month 7 3.96 6/1998 
Systematic Trader Index Month 3 3.96 6/1998 
IASG CTA Index Month 1 12.94 4/1998 
Systematic Trader Index Month 1 12.94 4/1998 
Diversified Trader Index Month 1 12.94 4/1998 
Program Name CAROR 
Kaiser Global Diversified Program - Class A 7.67% 
Kaiser Global Diversified Program - Class B 6.33% 
Kaiser Trading Fund 2X SPC - Share Class A 2.65% 
Kaiser Trading Fund 2X SPC - Share Class B 2.36% 
Technical 100.00%
Annualized Vol 13.59%
Sharpe (RFR=1%) 0.45
CAROR 6.33%
Assets $ 252.0M
Worst DD -24.74
S&P  Correlation -0.14
