Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec YTD DD 
2021 1.22 0.16 -4.12 2.53 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.34 -4.12 
2020 -8.80 -1.63 -0.91 -1.37 4.05 -2.90 4.94 2.61 -3.90 1.24 1.40 1.78 -4.22 -12.32 
2019 -3.22 2.33 -1.44 3.39 -3.09 -0.47 -2.33 -4.18 6.48 2.48 -0.83 -1.17 -2.57 -9.73 
2018 -0.73 -0.69 14.93 -0.55 2.53 1.90 1.28 -0.04 3.56 -0.81 0.01 -0.31 22.06 -1.41 
2017 4.22 3.13 0.78 1.04 -10.92 2.70 1.49 -0.56 5.42 4.08 0.29 2.39 13.85 -10.92 
2016 -12.40 3.82 1.74 -3.99 14.10 -3.73 2.46 -5.85 -3.15 1.10 11.84 0.80 3.91 -12.40 
2015 28.26 -6.43 4.96 9.06 -5.74 2.53 -1.55 7.37 -10.30 8.25 -13.88 4.60 22.76 -16.38 
Program / Index Apr Qtr YTD 1yr 3yr 5yr 10yr Since1/2015 
Livestock Trading Program 2.53 -1.54 -0.34 8.87 0.74 51.17 - 64.86 
S&P 500 5.24 16.22 14.93 48.22 63.01 106.89 - 114.18 
+/- S&P 500 -2.71 -17.76 -15.27 -39.35 -62.26 -55.72 - -49.32 
Type Managed Account 
Minimum Investment $ 100k 
Trading Level Incremental Increase $ 100k 
CTA Max Funding Factor 1.00 
Management Fee 2.00% 
Performance Fee 20.00% 
Average Commission $10.00 
Available to US Investors Yes 
High Water Mark Yes 
Subscription Frequency 1-7 Days 
Redemption Frequency 1-7 Days 
Investor Requirements Any Investor 
Lock-up Period 0 
Trading Frequency 1364 RT/YR/$M 
Avg. Margin-to-Equity 4% 
Targeted Worst DD  
Worst Peak-to-Trough  
Sector Focus Agricultural Traders 
Over 12 Months 0% 
4-12 Months 10.00% 
1-3 Months 30.00% 
1-30 Days 60.00% 
Intraday 0% 
Discretionary 100.00% 
Systematic 0% 
Index Award Type Rank Performance Period 
Agricultural Trader Index Month 9 0.16 2/2021 
Agricultural Trader Index Month 10 1.22 1/2021 
Agricultural Trader Index Month 9 1.78 12/2020 
Agricultural Trader Index Month 6 1.40 11/2020 
Agricultural Trader Index Month 7 1.24 10/2020 
Agricultural Trader Index Month 5 2.61 8/2020 
Agricultural Trader Index Month 1 4.94 7/2020 
Discretionary Trader Index Month 5 4.94 7/2020 
Agricultural Trader Index Month 4 4.05 5/2020 
Discretionary Trader Index Month 3 4.05 5/2020 
IASG CTA Index Month 10 4.05 5/2020 
IASG CTA Index 5 Year 8 72.71 2014 - 2019 
Agricultural Trader Index Month 10 0.00 11/2019 
Discretionary Trader Index Month 5 2.48 10/2019 
Agricultural Trader Index Month 5 2.48 10/2019 
IASG CTA Index Month 2 6.48 9/2019 
Agricultural Trader Index Month 1 6.48 9/2019 
Discretionary Trader Index Month 1 6.48 9/2019 
Agricultural Trader Index Month 1 3.36 4/2019 
Discretionary Trader Index Month 3 3.36 4/2019 
Agricultural Trader Index Month 4 2.33 2/2019 
Discretionary Trader Index Month 7 2.33 2/2019 
IASG CTA Index Annual 5 22.06 2018 
Agricultural Trader Index Month 5 0.01 11/2018 
Agricultural Trader Index Month 3 3.56 9/2018 
Discretionary Trader Index Month 3 3.56 9/2018 
IASG CTA Index Month 9 3.56 9/2018 
Agricultural Trader Index Month 6 1.90 6/2018 
Discretionary Trader Index Month 8 2.53 5/2018 
Agricultural Trader Index Month 2 2.53 5/2018 
Discretionary Trader Index Month 1 14.93 3/2018 
IASG CTA Index Month 1 14.93 3/2018 
Agricultural Trader Index Month 1 14.93 3/2018 
Agricultural Trader Index Month 4 2.39 12/2017 
Discretionary Trader Index Month 6 2.39 12/2017 
Discretionary Trader Index Month 4 4.08 10/2017 
Agricultural Trader Index Month 1 4.08 10/2017 
Discretionary Trader Index Month 4 5.42 9/2017 
IASG CTA Index Month 4 5.42 9/2017 
Agricultural Trader Index Month 2 5.42 9/2017 
Agricultural Trader Index Month 10 1.49 7/2017 
Agricultural Trader Index Month 10 2.63 6/2017 
Discretionary Trader Index Month 10 2.63 6/2017 
Agricultural Trader Index Month 3 1.04 4/2017 
Agricultural Trader Index Month 2 3.13 2/2017 
Discretionary Trader Index Month 6 3.13 2/2017 
Discretionary Trader Index Month 8 4.22 1/2017 
Agricultural Trader Index Month 2 4.22 1/2017 
Agricultural Trader Index Month 8 0.80 12/2016 
Discretionary Trader Index Month 3 11.47 11/2016 
Agricultural Trader Index Month 1 11.47 11/2016 
Agricultural Trader Index Month 5 1.10 10/2016 
Agricultural Trader Index Month 5 2.46 7/2016 
Discretionary Trader Index Month 10 2.46 7/2016 
Program Name CAROR 
Livestock Trading Program 8.21% 
Fundamental 100.00%
Livestock 90.00%
Currency Futures 5.00%
Grains 5.00%
Annualized Vol 20.89%
Sharpe (RFR=1%) 0.43
CAROR 8.21%
Assets $ 53.7M
Worst DD -23.38
S&P  Correlation 0.06
