Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec YTD DD 
2021 -1.62 -1.55 -3.14 -3.14 2020 -2.11 3.38 -7.26 0.92 -1.54 1.33 5.14 0.79 -1.25 
-2.20 4.13 4.97 5.71 -7.85 2019 1.89 -3.33 -0.92 0.95 4.03 0.19 1.81 4.90 -0.65 
-3.07 -0.11 -2.79 2.55 -6.49 2018 2.79 -2.14 -2.35 -4.43 1.18 5.84 -0.75 0.83 -1.57 
0.75 -0.83 -1.48 -2.53 -8.67 2017 -0.45 3.25 4.28 1.54 1.86 0.45 -1.32 2.45 -3.11 
-0.19 1.00 0.43 10.43 -3.29 2016 2.48 0.73 5.31 0.46 -2.11 1.35 -1.21 0.26 -0.88 
-1.35 -0.55 -0.93 3.39 -5.33 2015 -1.41 -0.38 4.09 0.81 -2.11 -4.07 2.61 0.90 -1.11 
-2.39 4.33 0.25 1.16 -6.15 2014 -0.93 -0.73 -1.13 -0.08 -0.60 -0.99 2.00 3.60 12.96 
-1.03 4.62 3.44 22.25 -4.38 2013 -2.89 0.00 2.29 -1.09 2.11 -3.85 -2.91 -1.87 -1.35 
0.02 -0.26 0.73 -8.89 -9.85 2012 1.15 -0.08 -2.81 -2.16 5.26 0.40 -1.02 -0.54 0.97 
-0.67 -1.54 -0.28 -1.54 -4.99 2011 -2.88 -0.33 0.04 10.19 -5.44 -1.50 0.84 -2.14 3.12 
-2.76 0.26 0.81 -0.60 -8.09 2010 -1.13 1.59 -0.32 -0.45 0.47 -3.72 -1.21 -1.66 -0.18 
-4.41 -1.61 1.02 -11.17 -12.45 2009 4.74 0.47 -2.16 0.27 0.68 -1.48 0.22 0.97 -0.68 
-3.83 -1.86 -0.07 -2.93 -7.76 2008 -0.47 -1.44 0.36 1.26 -0.64 -0.63 1.08 0.04 -0.69 
1.23 1.95 0.29 2.31 -1.90 2007 -0.30 -0.30 0.48 0.78 -0.02 0.23 0.08 -0.10 4.74 
-0.47 1.27 -0.36 6.08 -0.60 2006 0.30 0.99 0.27 0.69 -0.57 -0.09 0.44 -0.17 -0.15 
0.52 0.07 0.68 3.01 -0.66 2005 0.82 1.97 0.51 -0.16 1.66 0.30 1.90 0.30 0.72 
0.65 -0.14 0.27 9.13 -0.16 2004 0.49 3.32 -0.07 0.97 1.24 6.00 6.80 6.15 1.14 
28.90 -0.07 
Program / Index Feb Qtr YTD 1yr 3yr 5yr 10yr Since4/2004 
Extended Markets Alpha Program -1.55 -1.55 -3.14 8.10 9.02 7.00 20.75 74.72 
S&P 500 5.94 8.65 4.76 33.19 44.98 101.57 193.41 285.83 
+/- S&P 500 -7.49 -10.20 -7.90 -25.09 -35.96 -94.57 -172.66 -211.10 
Type Managed Account 
"Minimum Investment $ 10,000k "
Trading Level Incremental Increase $ 0k 
CTA Max Funding Factor  
Management Fee 2.00% 
Performance Fee 20.00% 
Average Commission $0 
Available to US Investors Yes 
High Water Mark Yes 
Subscription Frequency 1-7 Days 
Redemption Frequency 1-7 Days 
Investor Requirements QEP 
Lock-up Period 0 
Trading Frequency 0 RT/YR/$M 
Avg. Margin-to-Equity 0% 
Targeted Worst DD  
Worst Peak-to-Trough  
Sector Focus Currency Traders 
Over 12 Months 0% 
4-12 Months 0% 
1-3 Months 0% 
1-30 Days 0% 
Intraday 0% 
Discretionary 50.00% 
Systematic 50.00% 
Index Award Type Rank Performance Period 
Discretionary Trader Index Month 8 4.97 12/2020 
Discretionary Trader Index Month 8 4.13 11/2020 
Discretionary Trader Index Month 9 1.33 6/2020 
Discretionary Trader Index Month 7 3.38 2/2020 
Discretionary Trader Index Month 5 4.90 8/2019 
IASG CTA Index Month 6 5.84 6/2018 
Systematic Trader Index Month 5 5.84 6/2018 
Discretionary Trader Index Month 2 5.84 6/2018 
Systematic Trader Index Month 3 4.28 3/2017 
IASG CTA Index Month 5 4.28 3/2017 
Discretionary Trader Index Month 5 4.28 3/2017 
Discretionary Trader Index Month 5 3.25 2/2017 
Discretionary Trader Index Month 8 2.63 1/2016 
Discretionary Trader Index Month 5 4.48 11/2015 
Discretionary Trader Index Month 10 4.11 3/2015 
Discretionary Trader Index Month 8 3.46 12/2014 
Discretionary Trader Index Month 3 4.68 11/2014 
Discretionary Trader Index Month 7 13.09 9/2014 
Discretionary Trader Index Month 6 2.16 3/2013 
Discretionary Trader Index Month 8 5.00 5/2012 
Discretionary Trader Index Month 4 4.71 1/2009 
Discretionary Trader Index Month 10 0.75 4/2007 
Discretionary Trader Index Month 9 0.37 3/2007 
IASG CTA Index Sharpe 8 2.55 2005 
Discretionary Trader Index Month 6 0.64 10/2005 
Discretionary Trader Index Month 10 1.87 7/2005 
Discretionary Trader Index Month 10 1.63 5/2005 
Discretionary Trader Index Month 7 1.94 2/2005 
Discretionary Trader Index Month 5 0.79 1/2005 
IASG CTA Index Sharpe 2 3.54 2004 
Discretionary Trader Index Month 7 1.17 12/2004 
Discretionary Trader Index Month 4 6.13 11/2004 
Discretionary Trader Index Month 3 6.77 10/2004 
Discretionary Trader Index Month 4 5.94 9/2004 
Discretionary Trader Index Month 4 3.34 5/2004 
Program Name CAROR 
Emerging Markets Currency Alpha Programme 3.93% 
Extended Markets Alpha Program 3.35% 
Asian Markets Alpha Program 2.61% 
Systematic Macro Strategy -6.10% 
Annualized Vol 8.57%
Sharpe (RFR=1%) 0.31
CAROR 3.35%
Assets $ 14.1M
Worst DD -30.14
S&P  Correlation 0.04
