Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec YTD DD 
2021 1.31 5.19 0.75 8.39 16.38 0.00 2020 1.50 3.68 -1.01 5.78 0.49 1.73 6.50 
2.80 6.73 3.43 6.16 8.78 57.22 -1.01 2019 -1.63 -3.81 -0.78 0.17 -0.52 -10.99 -1.84 
0.88 1.64 1.88 -6.39 -0.48 -20.45 -20.45 2018 -0.78 3.90 7.87 -2.89 -3.03 -7.52 2.50 
9.09 -0.30 1.60 -2.15 -3.12 3.98 -12.91 2017 4.91 -1.73 3.47 2.39 -4.82 18.00 4.86 
3.16 0.42 0.92 -1.11 -0.20 32.72 -4.82 2016 -6.32 6.93 -7.02 -0.45 6.36 9.28 -10.38 
-7.93 -0.82 -3.64 -5.65 4.64 -16.10 -25.60 2015 13.00 -13.36 7.98 5.50 10.28 -2.83 5.14 
3.01 0.15 -1.30 -9.04 10.36 28.44 -13.36 2014 2.19 -6.90 -8.25 -1.70 -13.66 4.00 13.60 
10.61 2.65 -21.04 0.03 4.37 -18.08 -27.50 2013 -3.26 10.58 2.50 1.89 -10.92 4.88 7.43 
4.23 13.90 4.24 3.60 4.71 50.53 -10.92 2012 -3.21 -3.16 5.56 22.42 -25.35 33.54 33.95 
12.11 -12.28 0.54 1.33 3.53 67.77 -25.35 2011 5.65 -5.67 -6.54 -31.28 -1.75 -3.16 -14.41 
1.73 24.56 -6.19 -38.04 -50.66 
Program / Index Apr Qtr YTD 1yr 3yr 5yr 10yr Since3/2011 
Advanced Ag Futures Trading Program 8.39 14.87 16.38 66.04 40.15 81.76 178.44 177.49 
S&P 500 5.24 16.22 14.93 48.22 63.01 106.89 213.29 222.22 
+/- S&P 500 3.15 -1.35 1.45 17.82 -22.86 -25.13 -34.85 -44.73 
Type Managed Account 
Minimum Investment $ 100k 
Trading Level Incremental Increase $ 100k 
CTA Max Funding Factor 1.00 
Management Fee 2.00% 
Performance Fee 20.00% 
Average Commission $10.00 
Available to US Investors Yes 
High Water Mark Yes 
Subscription Frequency Daily 
Redemption Frequency Daily 
Investor Requirements Any Investor 
Lock-up Period 0 
Trading Frequency 3630 RT/YR/$M 
Avg. Margin-to-Equity 8% 
Targeted Worst DD -25.00% 
Worst Peak-to-Trough  
Sector Focus Agricultural Traders 
Over 12 Months 0% 
4-12 Months 5.00% 
1-3 Months 15.00% 
1-30 Days 80.00% 
Intraday 0% 
Discretionary 100.00% 
Systematic 0% 
Index Award Type Rank Performance Period 
Agricultural Trader Index Month 7 0.15 9/2015 
Discretionary Trader Index Month 7 3.01 8/2015 
Agricultural Trader Index Month 3 3.01 8/2015 
Agricultural Trader Index Month 2 5.14 7/2015 
Discretionary Trader Index Month 9 5.14 7/2015 
Discretionary Trader Index Month 1 10.28 5/2015 
IASG CTA Index Month 1 10.28 5/2015 
Agricultural Trader Index Month 1 10.28 5/2015 
Agricultural Trader Index Month 1 5.50 4/2015 
Discretionary Trader Index Month 3 5.50 4/2015 
IASG CTA Index Month 8 5.50 4/2015 
IASG CTA Index Month 8 7.98 3/2015 
Discretionary Trader Index Month 5 7.98 3/2015 
Agricultural Trader Index Month 1 7.98 3/2015 
Agricultural Trader Index Month 2 13.00 1/2015 
Discretionary Trader Index Month 4 13.00 1/2015 
Discretionary Trader Index Month 4 4.37 12/2014 
IASG CTA Index 3 Year 4 106.87 2011 - 2014 
Agricultural Trader Index Month 1 4.37 12/2014 
Discretionary Trader Index Month 3 10.61 8/2014 
Agricultural Trader Index Month 3 10.61 8/2014 
Agricultural Trader Index Month 3 13.60 7/2014 
Discretionary Trader Index Month 5 13.60 7/2014 
IASG CTA Index Month 7 13.60 7/2014 
Agricultural Trader Index Month 6 4.00 6/2014 
Agricultural Trader Index Month 5 2.21 1/2014 
IASG CTA Index Annual 3 50.45 2013 
Discretionary Trader Index Month 6 4.71 12/2013 
Agricultural Trader Index Month 2 4.71 12/2013 
Agricultural Trader Index Month 4 3.60 11/2013 
Discretionary Trader Index Month 8 4.18 10/2013 
Agricultural Trader Index Month 3 4.18 10/2013 
Discretionary Trader Index Month 3 13.90 9/2013 
Agricultural Trader Index Month 2 13.90 9/2013 
IASG CTA Index Month 4 13.90 9/2013 
Discretionary Trader Index Month 6 4.23 8/2013 
Agricultural Trader Index Month 2 4.23 8/2013 
Discretionary Trader Index Month 3 7.43 7/2013 
Agricultural Trader Index Month 3 7.43 7/2013 
IASG CTA Index Month 7 7.43 7/2013 
Discretionary Trader Index Month 10 4.88 6/2013 
Agricultural Trader Index Month 3 4.88 6/2013 
Agricultural Trader Index Month 8 1.89 4/2013 
Discretionary Trader Index Month 4 2.50 3/2013 
Agricultural Trader Index Month 1 2.50 3/2013 
Discretionary Trader Index Month 1 10.58 2/2013 
IASG CTA Index Month 2 10.58 2/2013 
Agricultural Trader Index Month 1 10.58 2/2013 
Agricultural Trader Index Month 1 3.53 12/2012 
Discretionary Trader Index Month 4 3.53 12/2012 
