Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec YTD DD 
2021 5.17 -5.16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.26 -5.16 
2020 -1.27 -2.05 -3.55 -0.87 -0.43 3.53 -0.02 -0.40 0.60 -0.75 -0.49 4.38 -1.57 -7.94 
2019 3.60 -2.07 1.02 5.61 3.86 -1.43 -0.76 -3.25 3.14 -1.53 1.20 -0.87 8.40 -5.36 
2018 8.19 3.49 3.44 0.17 0.02 -7.81 -0.41 -5.42 -2.99 8.87 -4.72 -0.38 1.01 -15.76 
2017 0.78 1.17 1.28 -0.72 6.46 -1.83 2.70 1.52 1.75 -10.04 -0.03 6.34 8.70 -10.07 
2016 -1.60 2.43 -5.91 -1.18 2.84 -5.38 -5.38 -2.57 -5.32 -5.72 0.91 -9.11 -31.17 -31.71 
2015 10.06 -8.09 13.62 -4.67 4.16 12.10 -1.48 -14.87 -2.97 6.62 -4.81 -0.79 4.83 -18.62 
2014 3.15 -5.15 -0.20 -0.74 0.24 2.28 8.77 1.19 6.41 -13.11 -0.82 0.75 1.04 -13.82 
2013 4.49 -1.68 -2.64 0.81 -12.54 4.79 5.97 -17.54 1.44 -3.60 -3.28 0.00 -23.62 -26.91 
2012 0.32 -2.85 -6.75 -0.81 -0.29 13.78 3.43 2.43 -4.94 5.12 -1.27 -4.99 1.56 -10.40 
2011 -4.77 1.87 -3.48 2.24 4.92 -5.51 4.27 -0.08 12.73 -11.79 0.32 8.14 6.67 -11.79 
2010 6.66 -3.28 8.04 -2.77 14.24 -7.47 0.83 9.28 0.61 9.92 -4.72 4.99 39.64 -7.47 
2009 18.00 28.11 -0.50 -5.88 -11.42 32.34 3.67 -6.79 -0.02 -1.06 -2.46 1.79 57.50 -17.05 
Program / Index Feb Qtr YTD 1yr 3yr 5yr 10yr Since1/2009 
Macro Program -5.16 -5.16 -0.26 6.18 -7.33 -14.17 -26.36 55.04 
S&P 500 5.94 8.65 4.76 33.19 44.98 101.57 193.41 417.30 
+/- S&P 500 -11.10 -13.81 -5.02 -27.01 -52.31 -115.74 -219.77 -362.25 
Type Managed Account 
Minimum Investment $ 50k 
Trading Level Incremental Increase $ 50k 
CTA Max Funding Factor  
Management Fee 2.00% 
Performance Fee 20.00% 
Average Commission $0 
Available to US Investors Yes 
High Water Mark Yes 
Subscription Frequency Daily 
Redemption Frequency Daily 
Investor Requirements QEP 
Lock-up Period 0 
Trading Frequency 500 RT/YR/$M 
Avg. Margin-to-Equity 10% 
Targeted Worst DD  
Worst Peak-to-Trough  
Sector Focus Diversified Traders 
Over 12 Months 0% 
4-12 Months 0% 
1-3 Months 0% 
1-30 Days 0% 
Intraday 0% 
Discretionary 100.00% 
Systematic 0% 
Index Award Type Rank Performance Period 
Discretionary Trader Index Month 10 1.20 11/2019 
Discretionary Trader Index Month 7 2.93 9/2019 
Diversified Trader Index Month 4 2.93 9/2019 
Discretionary Trader Index Month 7 3.86 5/2019 
Diversified Trader Index Month 8 3.86 5/2019 
IASG CTA Index Month 6 5.61 4/2019 
Diversified Trader Index Month 6 5.61 4/2019 
Discretionary Trader Index Month 2 5.61 4/2019 
Diversified Trader Index Month 1 8.87 10/2018 
Discretionary Trader Index Month 2 8.87 10/2018 
IASG CTA Index Month 3 8.87 10/2018 
Discretionary Trader Index Month 3 3.44 3/2018 
Diversified Trader Index Month 3 3.44 3/2018 
IASG CTA Index Month 9 3.44 3/2018 
Discretionary Trader Index Month 8 3.49 2/2018 
Diversified Trader Index Month 8 3.49 2/2018 
Discretionary Trader Index Month 3 8.19 1/2018 
Diversified Trader Index Month 3 6.34 12/2017 
IASG CTA Index Month 4 6.34 12/2017 
Discretionary Trader Index Month 2 6.34 12/2017 
Diversified Trader Index Month 7 1.75 9/2017 
Discretionary Trader Index Month 5 2.70 7/2017 
IASG CTA Index Month 5 6.36 5/2017 
Discretionary Trader Index Month 3 6.36 5/2017 
Diversified Trader Index Month 5 6.36 5/2017 
Diversified Trader Index Month 5 2.84 5/2016 
IASG CTA Index Month 3 6.62 10/2015 
Diversified Trader Index Month 4 6.62 10/2015 
Discretionary Trader Index Month 2 6.62 10/2015 
Diversified Trader Index Month 1 12.10 6/2015 
IASG CTA Index Month 1 12.10 6/2015 
Discretionary Trader Index Month 2 12.10 6/2015 
Discretionary Trader Index Month 5 4.16 5/2015 
Diversified Trader Index Month 10 4.16 5/2015 
Discretionary Trader Index Month 2 13.18 3/2015 
Diversified Trader Index Month 1 13.18 3/2015 
IASG CTA Index Month 2 13.18 3/2015 
Discretionary Trader Index Month 5 9.76 1/2015 
Discretionary Trader Index Month 9 8.77 7/2014 
Discretionary Trader Index Month 8 3.15 1/2014 
Discretionary Trader Index Month 6 5.97 7/2013 
Discretionary Trader Index Month 7 4.49 1/2013 
Discretionary Trader Index Month 7 5.12 10/2012 
IASG CTA Index Month 9 5.12 10/2012 
Diversified Trader Index Month 8 5.12 10/2012 
IASG CTA Index Month 9 13.78 6/2012 
Discretionary Trader Index Month 6 13.78 6/2012 
Diversified Trader Index Month 4 13.78 6/2012 
Discretionary Trader Index Month 4 8.14 12/2011 
Diversified Trader Index Month 6 8.14 12/2011 
IASG CTA Index 3 Year 9 134.60 2008 - 2011 
IASG CTA Index Month 9 8.14 12/2011 
IASG CTA Index Month 9 12.73 9/2011 
Diversified Trader Index Month 8 12.73 9/2011 
Discretionary Trader Index Month 3 12.73 9/2011 
Diversified Trader Index Month 8 4.92 5/2011 
Discretionary Trader Index Month 7 4.92 5/2011 
Discretionary Trader Index Month 4 9.28 8/2010 
