Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec YTD DD 
2021 2.09 -2.17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.13 -2.17 
2020 -0.61 -0.94 -1.72 -0.45 -0.23 1.53 -0.04 -0.24 0.23 -0.38 -0.25 1.81 -1.33 -3.89 
2019 1.43 -0.95 0.42 2.27 1.83 -0.55 -0.37 -1.47 1.28 -0.70 0.47 -0.45 3.18 -2.37 
2018 3.08 0.69 2.79 0.12 0.11 -3.28 -0.13 -2.40 -1.33 2.78 -2.55 -0.15 -0.52 -6.98 
2017 0.42 -0.56 0.82 0.25 1.82 -1.00 0.73 0.27 2.67 -7.54 -0.07 2.69 0.10 -7.60 
2016 -0.86 0.82 -0.06 -3.28 2.43 -3.54 -0.92 -0.37 -1.21 -1.69 0.14 -1.83 -10.03 -10.03 
2015 1.60 -2.54 1.46 -1.07 2.10 4.17 -1.99 -2.99 -1.60 -0.31 -0.91 -0.97 -3.25 -8.48 
2014 -2.77 -5.67 2.33 0.81 3.22 0.13 9.06 1.85 6.04 -9.16 0.08 -1.12 3.54 -10.11 
2013 2.26 -1.67 -0.41 -0.58 -2.19 1.26 1.88 -4.03 0.54 0.34 0.22 -0.50 -3.01 -5.72 
2012 -1.28 0.99 2.38 0.16 1.03 10.93 5.07 0.25 0.81 -0.05 -0.87 -3.63 16.17 -4.52 
2011 1.28 5.10 -3.60 5.02 3.05 -4.06 -2.63 1.88 -2.45 3.27 -2.71 2.38 6.05 -7.16 
2010 0.46 -0.41 3.01 0.59 2.19 -2.39 0.22 3.98 4.81 15.74 -4.34 0.65 25.86 -4.34 
2009 -0.57 0.58 -2.59 3.29 -6.07 0.37 1.32 -0.58 4.07 -4.85 -0.48 1.66 -4.27 -6.41 
2008 13.85 7.22 3.14 -2.92 -7.12 0.45 3.51 -2.30 7.07 -2.83 -2.27 -1.52 15.48 -9.83 
2007 -5.22 3.09 -7.75 -3.41 -0.09 12.37 -17.38 1.41 8.57 10.48 -1.20 7.45 4.28 -19.24 
2006 10.48 1.17 10.97 -0.13 0.32 -5.89 -2.26 -7.28 -1.39 3.35 14.81 3.40 28.23 -15.90 
2005 -0.82 0.86 3.18 1.06 6.47 1.57 2.25 -9.34 5.27 7.25 2.85 0.42 21.93 -9.34 
2004 5.07 -2.04 22.77 12.05 0.38 -3.28 -2.73 11.26 5.30 4.61 13.80 3.68 93.35 -5.92 
2003 -12.68 11.04 -11.10 -6.18 -5.61 8.93 94.99 30.15 14.37 31.08 -9.02 -14.77 145.31 -23.67 
2002 -5.21 7.49 -7.92 3.54 11.19 -6.66 23.64 13.21 9.64 14.44 59.95 -20.96 123.85 -20.96 
2001 -6.10 9.51 -1.09 -0.01 7.89 -7.37 -0.61 -9.79 31.75 40.67 5.41 -10.53 59.28 -16.95 
2000 0.0 0.0 0.0 -8.70 0.28 18.66 4.81 -34.33 40.39 3.09 7.89 49.41 74.45 -34.33 
Program / Index Feb Qtr YTD 1yr 3yr 5yr 10yr Since4/2000 
"Rosetta Trading Program -2.17 -2.17 -0.13 2.30 -5.31 -5.72 1.18 7,197.03 "
S&P 500 5.94 8.65 4.76 33.19 44.98 101.57 193.41 194.14 
"+/- S&P 500 -8.11 -10.82 -4.88 -30.89 -50.29 -107.29 -192.23 7,002.88 "
Type Managed Account 
Minimum Investment $ 100k 
Trading Level Incremental Increase $ 100k 
CTA Max Funding Factor 1.00 
Management Fee 2.00% 
Performance Fee 20.00% 
Average Commission $0 
Available to US Investors Yes 
High Water Mark Yes 
Subscription Frequency Daily 
Redemption Frequency Daily 
Investor Requirements QEP 
Lock-up Period 0 
Trading Frequency 500 RT/YR/$M 
Avg. Margin-to-Equity 5% 
Targeted Worst DD  
Worst Peak-to-Trough 0% 
Sector Focus Agricultural Traders 
Over 12 Months 0% 
4-12 Months 0% 
1-3 Months 0% 
1-30 Days 0% 
Intraday 0% 
Discretionary 100.00% 
Systematic 0% 
Index Award Type Rank Performance Period 
Agricultural Trader Index Month 4 4.17 6/2015 
Discretionary Trader Index Month 7 4.17 6/2015 
Agricultural Trader Index Month 5 2.10 5/2015 
Agricultural Trader Index Month 10 1.46 3/2015 
Agricultural Trader Index Month 5 6.11 9/2014 
Agricultural Trader Index Month 8 1.87 8/2014 
Agricultural Trader Index Month 6 9.08 7/2014 
Discretionary Trader Index Month 8 9.08 7/2014 
Agricultural Trader Index Month 6 3.22 5/2014 
Agricultural Trader Index Month 8 0.81 4/2014 
Agricultural Trader Index Month 5 2.33 3/2014 
Agricultural Trader Index Month 10 1.88 7/2013 
Agricultural Trader Index Month 9 1.26 6/2013 
Agricultural Trader Index Month 3 2.33 1/2013 
Agricultural Trader Index Month 8 0.84 9/2012 
Discretionary Trader Index Month 10 10.93 6/2012 
Agricultural Trader Index Month 7 10.93 6/2012 
Agricultural Trader Index Month 8 1.03 5/2012 
Agricultural Trader Index Month 8 2.38 3/2012 
Agricultural Trader Index Month 9 0.99 2/2012 
Agricultural Trader Index Month 5 2.02 12/2011 
Agricultural Trader Index Month 5 3.27 10/2011 
Agricultural Trader Index Month 3 3.04 5/2011 
Agricultural Trader Index Month 6 5.02 4/2011 
Agricultural Trader Index Month 6 5.10 2/2011 
Agricultural Trader Index Month 7 16.07 10/2010 
Discretionary Trader Index Month 8 16.07 10/2010 
Agricultural Trader Index Month 9 3.99 8/2010 
Agricultural Trader Index Month 10 0.22 7/2010 
Agricultural Trader Index Month 5 2.20 5/2010 
Agricultural Trader Index Month 9 0.60 4/2010 
Agricultural Trader Index Month 3 3.01 3/2010 
Agricultural Trader Index Month 8 -0.41 2/2010 
Agricultural Trader Index Month 5 1.66 12/2009 
Agricultural Trader Index Month 9 -0.48 11/2009 
Agricultural Trader Index Month 4 4.07 9/2009 
Agricultural Trader Index Month 4 1.32 7/2009 
Agricultural Trader Index Month 5 3.29 4/2009 
IASG CTA Index 5 Year 5 264.04 2003 - 2008 
Discretionary Trader Index Month 3 7.07 9/2008 
Agricultural Trader Index Month 2 7.07 9/2008 
Agricultural Trader Index Month 4 3.51 7/2008 
Agricultural Trader Index Month 10 0.45 6/2008 
Discretionary Trader Index Month 8 3.14 3/2008 
Agricultural Trader Index Month 3 3.14 3/2008 
Agricultural Trader Index Month 5 7.22 2/2008 
Discretionary Trader Index Month 3 13.85 1/2008 
Agricultural Trader Index Month 1 13.85 1/2008 
IASG CTA Index 5 Year 2 673.33 2002 - 2007 
Agricultural Trader Index Month 4 7.45 12/2007 
Discretionary Trader Index Month 10 7.45 12/2007 
Agricultural Trader Index Month 7 -1.20 11/2007 
Agricultural Trader Index Month 1 10.48 10/2007 
Discretionary Trader Index Month 3 10.48 10/2007 
Agricultural Trader Index Month 4 8.57 9/2007 
Discretionary Trader Index Month 9 8.57 9/2007 
Agricultural Trader Index Month 5 1.41 8/2007 
Agricultural Trader Index Month 10 -17.38 7/2007 
Discretionary Trader Index Month 1 12.37 6/2007 
IASG CTA Index Month 3 12.37 6/2007 
Agricultural Trader Index Month 1 12.37 6/2007 
Agricultural Trader Index Month 8 -0.09 5/2007 
Agricultural Trader Index Month 7 -3.41 4/2007 
Agricultural Trader Index Month 5 3.09 2/2007 
Discretionary Trader Index Month 10 3.09 2/2007 
IASG CTA Index 3 Year 2 202.30 2003 - 2006 
"IASG CTA Index 5 Year 1 1,560.01 2001 - 2006 "
Agricultural Trader Index Month 4 3.40 12/2006 
Discretionary Trader Index Month 4 3.40 12/2006 
IASG CTA Index Month 4 14.81 11/2006 
Agricultural Trader Index Month 1 14.81 11/2006 
Discretionary Trader Index Month 2 14.81 11/2006 
Agricultural Trader Index Month 5 3.35 10/2006 
Discretionary Trader Index Month 10 3.35 10/2006 
Agricultural Trader Index Month 8 -1.39 9/2006 
Agricultural Trader Index Month 10 -7.28 8/2006 
Agricultural Trader Index Month 10 -2.26 7/2006 
Agricultural Trader Index Month 10 -5.89 6/2006 
Agricultural Trader Index Month 4 0.32 5/2006 
