Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec YTD DD 
2021 -2.60 20.44 -2.28 1.43 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16.27 -2.60 
2020 -8.53 -3.05 23.21 -10.32 -3.95 0.52 -0.77 -8.02 0.13 -4.87 8.33 7.35 -4.35 -24.72 
2019 0.90 -0.39 -4.05 3.21 -5.48 0.21 -5.46 7.23 -14.16 -5.05 -5.63 3.71 -23.76 -27.15 
2018 9.78 -1.16 -1.06 3.68 -3.57 -6.65 0.03 -1.86 3.67 0.56 2.82 5.63 11.37 -11.63 
2017 -4.37 -2.30 -5.84 2.78 -3.27 0.42 0.36 0.09 -5.03 5.94 0.45 -1.57 -12.24 -16.21 
2016 2.90 3.74 -2.01 0.59 -8.40 4.72 4.21 -4.15 0.65 -0.40 3.57 0.02 4.69 -9.71 
2015 0.66 2.06 2.43 -5.11 1.00 -1.65 6.71 0.40 1.89 -3.47 8.98 -2.84 10.67 -5.74 
2014 -7.56 1.00 6.51 -1.98 3.99 0.76 -0.73 -6.04 23.54 1.75 7.39 3.82 33.51 -7.56 
2013 4.47 3.82 4.06 8.44 6.67 0.56 -1.75 -1.91 -5.10 -5.56 6.92 2.23 23.95 -13.63 
2012 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.81 -0.15 -6.37 -5.60 -2.58 -14.72 -14.72 
Program / Index Apr Qtr YTD 1yr 3yr 5yr 10yr Since8/2012 
Sandpiper Global Macro Program 1.43 19.38 16.27 13.50 -15.16 -17.54 - 35.51 
S&P 500 5.24 16.22 14.93 48.22 63.01 106.89 - 203.78 
+/- S&P 500 -3.81 3.15 1.34 -34.72 -78.17 -124.43 - -168.28 
Type Managed Account 
"Minimum Investment $ 1,000k "
Trading Level Incremental Increase $ 0k 
CTA Max Funding Factor 3.00 
Management Fee 1.00% 
Performance Fee 25.00% 
Average Commission $0 
Available to US Investors Yes 
High Water Mark Yes 
Subscription Frequency 15-30 Days 
Redemption Frequency 15-30 Days 
Investor Requirements QEP 
Lock-up Period 0 
Trading Frequency 2000 RT/YR/$M 
Avg. Margin-to-Equity 17% 
Targeted Worst DD -15.00% 
Worst Peak-to-Trough 14.71% 
Sector Focus Diversified Traders 
Over 12 Months 0% 
4-12 Months 50.00% 
1-3 Months 25.00% 
1-30 Days 25.00% 
Intraday 0% 
Discretionary 50.00% 
Systematic 50.00% 
Index Award Type Rank Performance Period 
Discretionary Trader Index Month 1 20.44 2/2021 
IASG CTA Index Month 4 20.44 2/2021 
Systematic Trader Index Month 4 20.44 2/2021 
Diversified Trader Index Month 4 20.44 2/2021 
Discretionary Trader Index Month 4 7.35 12/2020 
Discretionary Trader Index Month 2 8.33 11/2020 
Discretionary Trader Index Month 1 23.21 3/2020 
Diversified Trader Index Month 6 23.21 3/2020 
IASG CTA Index Month 8 23.21 3/2020 
Systematic Trader Index Month 10 23.21 3/2020 
Diversified Trader Index Month 10 3.71 12/2019 
Discretionary Trader Index Month 3 3.71 12/2019 
Discretionary Trader Index Month 2 7.23 8/2019 
Discretionary Trader Index Month 4 3.21 4/2019 
Discretionary Trader Index Month 2 5.63 12/2018 
Discretionary Trader Index Month 7 2.82 11/2018 
IASG CTA Index Month 7 3.67 9/2018 
Systematic Trader Index Month 7 3.67 9/2018 
Diversified Trader Index Month 4 3.67 9/2018 
Discretionary Trader Index Month 1 3.67 9/2018 
Discretionary Trader Index Month 4 3.68 4/2018 
Diversified Trader Index Month 3 3.68 4/2018 
Systematic Trader Index Month 5 3.68 4/2018 
IASG CTA Index Month 6 3.68 4/2018 
Discretionary Trader Index Month 1 9.78 1/2018 
Diversified Trader Index Month 10 9.78 1/2018 
Discretionary Trader Index Month 2 5.94 10/2017 
Discretionary Trader Index Month 7 2.78 4/2017 
Discretionary Trader Index Month 5 4.21 7/2016 
Discretionary Trader Index Month 9 4.72 6/2016 
Discretionary Trader Index Month 7 3.74 2/2016 
Discretionary Trader Index Month 6 2.90 1/2016 
IASG CTA Index 3 Year 6 83.13 2012 - 2015 
IASG CTA Index Month 10 8.98 11/2015 
Discretionary Trader Index Month 1 8.98 11/2015 
Discretionary Trader Index Month 5 6.71 7/2015 
Discretionary Trader Index Month 7 3.82 12/2014 
Discretionary Trader Index Month 2 7.39 11/2014 
Discretionary Trader Index Month 3 23.54 9/2014 
Systematic Trader Index Month 4 23.54 9/2014 
Diversified Trader Index Month 4 23.54 9/2014 
Program Name CAROR 
Sandpiper Global Macro Program 3.53% 
Fundamental 25.00%
Momentum 25.00%
Technical 25.00%
Trend-following 25.00%
Interest Rates 25.00%
Currency Futures 20.00%
Stock Indices 15.00%
Energy 10.00%
Grains 10.00%
Industrial Metals 5.00%
Precious Metals 5.00%
Livestock 5.00%
Softs 5.00%
Annualized Vol 20.52%
Sharpe (RFR=1%) 0.22
CAROR 3.53%
Assets $ 11.0M
Worst DD -39.89
S&P  Correlation -0.12
