Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec YTD DD 
2021 -0.12 -0.33 0.03 -0.78 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.20 -1.20 
2020 -0.15 -0.25 -3.65 -0.07 10.27 13.23 -0.14 -7.91 -0.27 2.42 -1.09 -0.02 11.22 -8.29 
2019 -0.66 0.26 0.95 2.54 0.16 2.20 -0.03 -1.07 5.06 8.37 0.81 0.28 20.13 -1.10 
2018 0.34 -0.19 0.19 0.47 -1.33 -2.61 -0.15 1.40 -4.87 -2.72 -0.14 -0.12 -9.47 -10.20 
2017 -1.61 -0.15 -0.12 -0.72 3.40 -5.36 0.74 -4.22 -0.12 0.60 -0.11 -0.49 -8.13 -8.80 
2016 0.40 -0.40 -0.85 1.59 -0.17 6.13 1.37 -0.92 -0.16 -0.24 1.98 1.22 10.20 -1.32 
2015 -0.68 -0.50 -0.22 -0.09 -0.38 0.11 -0.18 -0.16 -1.94 -0.10 -0.19 0.85 -3.45 -4.26 
2014 17.07 -0.80 10.86 -0.13 -0.18 -0.11 0.91 10.80 1.64 -0.19 0.91 1.53 48.99 -0.80 
2013 -0.23 0.77 -0.12 2.12 1.42 -10.80 -0.31 2.05 -1.44 7.59 -1.40 2.52 1.17 -11.08 
2012 0.12 3.14 -1.10 -1.07 3.42 11.92 -5.16 1.67 3.67 -3.30 -10.73 -3.73 -2.85 -16.93 
2011 14.55 20.17 5.78 6.10 16.82 -7.88 33.75 -13.89 -4.32 6.89 -0.13 -0.13 95.32 -17.61 
2010 -22.82 -6.26 2.96 4.54 -10.74 -1.00 4.86 6.98 6.10 -3.71 -2.66 -5.48 -27.44 -31.19 
2009 12.34 -0.70 16.32 -7.84 6.33 -4.81 4.90 -22.09 21.52 22.54 7.98 -14.97 35.25 -23.76 
2008 -7.61 13.68 -26.00 45.19 4.93 19.32 -9.97 3.61 -5.92 -11.61 1.85 42.82 59.42 -26.00 
2007 21.36 4.32 36.91 138.10 14.81 3.10 -24.20 77.52 -6.14 3.00 -1.45 13.44 610.45 -24.20 
2006 13.99 47.51 3.85 -1.29 -8.15 6.85 -2.10 0.38 -6.03 -1.56 9.25 4.82 76.10 -11.93 
2005 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -11.20 3.20 -6.67 -13.73 1.22 -25.31 -26.21 
Program / Index Apr Qtr YTD 1yr 3yr 5yr 10yr Since8/2005 
"Dairy Advantage Program -0.78 -1.08 -1.20 14.59 18.56 20.13 116.28 4,784.65 "
S&P 500 5.24 16.22 14.93 48.22 63.01 106.89 213.29 250.09 
"+/- S&P 500 -6.02 -17.30 -16.13 -33.63 -44.45 -86.76 -97.01 4,534.56 "
Type Managed Account 
Minimum Investment $ 400k 
Trading Level Incremental Increase $ 100k 
CTA Max Funding Factor 3.00 
Management Fee 2.00% 
Performance Fee 20.00% 
Average Commission $50.00 
Available to US Investors Yes 
High Water Mark Yes 
Subscription Frequency Daily 
Redemption Frequency Daily 
Investor Requirements Any Investor 
Lock-up Period 0 
Trading Frequency 250 RT/YR/$M 
Avg. Margin-to-Equity 10% 
Targeted Worst DD  
Worst Peak-to-Trough -41.49% 
Sector Focus Agricultural Traders 
Over 12 Months 0% 
4-12 Months 20.00% 
1-3 Months 40.00% 
1-30 Days 40.00% 
Intraday 0% 
Discretionary 100.00% 
Systematic 0% 
Index Award Type Rank Performance Period 
Agricultural Trader Index Month 7 0.33 2/2021 
Agricultural Trader Index Month 9 0.00 11/2020 
Discretionary Trader Index Month 7 2.42 10/2020 
Agricultural Trader Index Month 4 2.42 10/2020 
Agricultural Trader Index Month 9 -0.14 7/2020 
Discretionary Trader Index Month 1 13.23 6/2020 
Agricultural Trader Index Month 1 13.23 6/2020 
IASG CTA Index Month 2 13.23 6/2020 
Discretionary Trader Index Month 1 10.27 5/2020 
Agricultural Trader Index Month 1 10.27 5/2020 
IASG CTA Index Month 2 10.27 5/2020 
Agricultural Trader Index Month 10 0.28 12/2019 
Agricultural Trader Index Month 5 0.81 11/2019 
Agricultural Trader Index Month 1 8.37 10/2019 
Discretionary Trader Index Month 1 8.37 10/2019 
IASG CTA Index Month 3 8.37 10/2019 
Agricultural Trader Index Month 2 5.06 9/2019 
IASG CTA Index Month 5 5.06 9/2019 
Discretionary Trader Index Month 3 5.06 9/2019 
Discretionary Trader Index Month 3 2.20 6/2019 
Agricultural Trader Index Month 3 2.20 6/2019 
Agricultural Trader Index Month 2 2.54 4/2019 
Discretionary Trader Index Month 7 2.54 4/2019 
Agricultural Trader Index Month 5 0.95 3/2019 
Agricultural Trader Index Month 5 0.26 2/2019 
Agricultural Trader Index Month 5 1.40 8/2018 
Agricultural Trader Index Month 9 0.47 4/2018 
Agricultural Trader Index Month 7 0.60 10/2017 
Discretionary Trader Index Month 8 3.40 5/2017 
Agricultural Trader Index Month 3 3.40 5/2017 
Agricultural Trader Index Month 4 1.22 12/2016 
Agricultural Trader Index Month 3 1.98 11/2016 
Agricultural Trader Index Month 9 1.37 7/2016 
Discretionary Trader Index Month 8 6.13 6/2016 
Agricultural Trader Index Month 6 6.13 6/2016 
Agricultural Trader Index Month 6 1.59 4/2016 
Agricultural Trader Index Month 9 0.40 1/2016 
Agricultural Trader Index Month 8 0.85 12/2015 
IASG CTA Index 5 Year 3 176.15 2010 - 2015 
Agricultural Trader Index Month 6 1.53 12/2014 
Agricultural Trader Index Month 6 0.91 11/2014 
Agricultural Trader Index Month 2 10.80 8/2014 
Discretionary Trader Index Month 2 10.80 8/2014 
IASG CTA Index Month 10 10.80 8/2014 
Discretionary Trader Index Month 2 10.86 3/2014 
Agricultural Trader Index Month 1 10.86 3/2014 
IASG CTA Index Month 4 10.86 3/2014 
Discretionary Trader Index Month 1 17.07 1/2014 
IASG CTA Index Month 1 17.07 1/2014 
Agricultural Trader Index Month 1 17.07 1/2014 
Agricultural Trader Index Month 5 2.52 12/2013 
IASG CTA Index 3 Year 9 91.97 2010 - 2013 
Discretionary Trader Index Month 6 7.59 10/2013 
Agricultural Trader Index Month 2 7.59 10/2013 
Agricultural Trader Index Month 6 2.05 8/2013 
Agricultural Trader Index Month 4 1.42 5/2013 
Agricultural Trader Index Month 6 2.12 4/2013 
Agricultural Trader Index Month 9 -0.12 3/2013 
IASG CTA Index 5 Year 8 196.87 2007 - 2012 
Discretionary Trader Index Month 7 3.67 9/2012 
Agricultural Trader Index Month 2 3.67 9/2012 
Agricultural Trader Index Month 6 11.92 6/2012 
Discretionary Trader Index Month 9 11.92 6/2012 
Agricultural Trader Index Month 3 3.42 5/2012 
Agricultural Trader Index Month 3 3.14 2/2012 
IASG CTA Index Annual 2 95.32 2011 
"IASG CTA Index 5 Year 2 2,070.97 2006 - 2011 "
Agricultural Trader Index Month 3 6.89 10/2011 
