Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec YTD DD 
2021 3.61 2.74 -2.10 -2.43 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.68 -4.48 
2020 5.53 0.97 22.52 0.01 -1.67 -1.03 8.01 1.33 -4.60 1.45 3.34 -0.36 38.58 -4.60 
2019 0.92 -0.68 0.32 0.84 -1.19 0.24 -1.02 0.15 -2.89 -1.03 4.35 0.39 0.24 -5.64 
2018 2.97 4.61 6.45 0.00 1.07 0.84 -0.86 2.17 -2.29 14.13 1.70 0.54 34.98 -2.29 
2017 -1.16 -0.63 -0.52 1.57 -0.63 2.35 1.23 0.99 -2.02 0.38 3.84 2.39 7.90 -2.29 
2016 -1.09 -4.73 -0.49 -0.37 -2.68 0.40 -0.66 -1.49 0.47 3.82 0.33 1.05 -5.53 -10.67 
2015 1.31 -0.69 2.53 0.45 0.00 0.07 10.57 4.65 -7.46 2.97 2.65 -2.35 14.60 -7.46 
2014 0.59 -0.58 -0.29 1.25 -0.15 -1.24 -0.96 -0.67 1.12 -2.15 -2.42 0.47 -4.99 -6.33 
2013 0.07 -0.34 -0.54 2.32 -4.14 1.81 -1.71 -0.35 -2.65 -0.86 -0.43 -0.94 -7.65 -9.00 
2012 -0.30 0.37 1.49 -0.15 3.68 1.21 4.70 -2.34 -0.34 1.31 1.49 -1.20 10.16 -2.67 
2011 0.81 2.12 0.49 2.46 2.69 1.12 -1.30 17.06 3.52 3.94 0.52 -0.81 36.43 -1.30 
2010 -1.58 -1.40 -0.51 -1.22 5.17 -3.05 0.61 -1.31 -0.82 1.44 -1.32 0.92 -3.26 -4.63 
2009 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.60 1.67 -1.74 1.50 -1.74 
Program / Index Apr Qtr YTD 1yr 3yr 5yr 10yr Since10/2009 
SinoPac Multi Strategy Quant Fund -2.43 -1.86 1.68 7.93 66.27 108.01 177.08 188.37 
S&P 500 5.24 16.22 14.93 48.22 63.01 106.89 213.29 312.30 
+/- S&P 500 -7.67 -18.09 -13.25 -40.29 3.26 1.12 -36.21 -123.93 
Type Fund 
Minimum Investment $ 250k 
Trading Level Incremental Increase $ 0k 
CTA Max Funding Factor  
Management Fee 2.00% 
Performance Fee 20.00% 
Average Commission $0 
Available to US Investors Yes 
High Water Mark Yes 
Subscription Frequency 15-30 Days 
Redemption Frequency 15-30 Days 
Investor Requirements QEP 
Lock-up Period 0 
Trading Frequency 12750 RT/YR/$M 
Avg. Margin-to-Equity 10% 
Targeted Worst DD  
Worst Peak-to-Trough 6.00% 
Sector Focus Stock Index Traders 
Over 12 Months 0% 
4-12 Months 0% 
1-3 Months 0% 
1-30 Days 5.00% 
Intraday 95.00% 
Discretionary 0% 
Systematic 100.00% 
Index Award Type Rank Performance Period 
Stock Index Trader Index Month 7 2.74 2/2021 
Systematic Trader Index Month 7 3.61 1/2021 
Trend Following Strategy Index Month 5 3.61 1/2021 
Stock Index Trader Index Month 3 3.61 1/2021 
IASG CTA Index 3 Year 5 87.50 2017 - 2020 
IASG CTA Index 5 Year 9 91.12 2015 - 2020 
Stock Index Trader Index Month 9 3.34 11/2020 
Trend Following Strategy Index Month 6 1.45 10/2020 
Stock Index Trader Index Month 4 1.45 10/2020 
Trend Following Strategy Index Month 10 1.33 8/2020 
Stock Index Trader Index Month 10 1.33 8/2020 
Trend Following Strategy Index Month 10 8.01 7/2020 
Stock Index Trader Index Month 2 8.01 7/2020 
Stock Index Trader Index Month 3 22.52 3/2020 
Trend Following Strategy Index Month 5 22.52 3/2020 
IASG CTA Index Month 10 22.52 3/2020 
Stock Index Trader Index Month 8 0.97 2/2020 
IASG CTA Index Month 9 5.53 1/2020 
Systematic Trader Index Month 9 5.53 1/2020 
Trend Following Strategy Index Month 4 5.53 1/2020 
Stock Index Trader Index Month 2 5.53 1/2020 
IASG CTA Index Month 3 4.35 11/2019 
Stock Index Trader Index Month 2 4.35 11/2019 
Trend Following Strategy Index Month 2 4.35 11/2019 
Systematic Trader Index Month 3 4.35 11/2019 
IASG CTA Index Annual 2 34.98 2018 
Stock Index Trader Index Month 10 0.54 12/2018 
Trend Following Strategy Index Month 1 14.13 10/2018 
Systematic Trader Index Month 1 14.13 10/2018 
Stock Index Trader Index Month 1 14.13 10/2018 
IASG CTA Index Month 2 14.13 10/2018 
Stock Index Trader Index Month 5 2.17 8/2018 
Trend Following Strategy Index Month 10 1.07 5/2018 
Systematic Trader Index Month 2 6.45 3/2018 
Trend Following Strategy Index Month 1 6.45 3/2018 
Stock Index Trader Index Month 3 6.45 3/2018 
IASG CTA Index Month 4 6.45 3/2018 
Trend Following Strategy Index Month 2 4.61 2/2018 
Stock Index Trader Index Month 6 4.61 2/2018 
Stock Index Trader Index Month 8 2.97 1/2018 
Stock Index Trader Index Month 3 2.39 12/2017 
Trend Following Strategy Index Month 3 3.84 11/2017 
Stock Index Trader Index Month 2 3.84 11/2017 
Systematic Trader Index Month 5 3.84 11/2017 
IASG CTA Index Month 5 3.84 11/2017 
Stock Index Trader Index Month 9 0.99 8/2017 
Stock Index Trader Index Month 5 2.35 6/2017 
Trend Following Strategy Index Month 3 2.35 6/2017 
Systematic Trader Index Month 10 2.35 6/2017 
Trend Following Strategy Index Month 10 1.57 4/2017 
Stock Index Trader Index Month 9 1.57 4/2017 
Stock Index Trader Index Month 5 1.05 12/2016 
IASG CTA Index Month 9 3.59 10/2016 
Trend Following Strategy Index Month 2 3.59 10/2016 
Systematic Trader Index Month 3 3.59 10/2016 
Stock Index Trader Index Month 4 3.59 10/2016 
Stock Index Trader Index Month 6 2.76 11/2015 
Trend Following Strategy Index Month 5 2.95 10/2015 
Stock Index Trader Index Month 4 2.95 10/2015 
Stock Index Trader Index Month 4 4.65 8/2015 
Trend Following Strategy Index Month 8 4.65 8/2015 
Trend Following Strategy Index Month 8 10.57 7/2015 
Systematic Trader Index Month 7 10.57 7/2015 
IASG CTA Index Month 9 10.57 7/2015 
Stock Index Trader Index Month 3 10.57 7/2015 
Trend Following Strategy Index Month 10 0.07 6/2015 
Stock Index Trader Index Month 6 2.89 3/2015 
Trend Following Strategy Index Month 7 1.07 10/2012 
Stock Index Trader Index Month 5 4.70 7/2012 
Stock Index Trader Index Month 5 3.68 5/2012 
Trend Following Strategy Index Month 8 3.94 10/2011 
Stock Index Trader Index Month 10 3.94 10/2011 
Stock Index Trader Index Month 10 3.52 9/2011 
IASG CTA Index Month 5 17.06 8/2011 
Systematic Trader Index Month 5 17.06 8/2011 
Stock Index Trader Index Month 3 17.06 8/2011 
Trend Following Strategy Index Month 3 17.06 8/2011 
Trend Following Strategy Index Month 5 1.12 6/2011 
Trend Following Strategy Index Month 7 2.69 5/2011 
Stock Index Trader Index Month 3 2.46 4/2011 
Stock Index Trader Index Month 2 5.17 5/2010 
Program Name CAROR 
SinoPac Multi Strategy Quant Fund 9.57% 
Counter-trend 10.00%
Trend-following 50.00%
Other 40.00%
Stock Indices 80.00%
Currency FX 5.00%
Precious Metals 5.00%
Energy 5.00%
Grains 5.00%
Annualized Vol 12.20%
Sharpe (RFR=1%) 0.73
CAROR 9.57%
Assets $ 105.1M
Worst DD -14.68
S&P  Correlation -0.27
