Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec YTD DD 
 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
Program / Index Nov Qtr YTD 1yr 3yr 5yr 10yr Since4/2010 
Grains Program -4.92 - - -6.94 -9.56 -5.20 12.74 61.99 
S&P 500 10.75 - - 15.30 40.10 72.31 203.60 260.01 
+/- S&P 500 -15.67 - - -22.25 -49.65 -77.51 -190.87 -198.02 
Type Managed Account 
"Minimum Investment $ 1,000k "
Trading Level Incremental Increase $ 0k 
CTA Max Funding Factor  
Management Fee 1.00% 
Performance Fee 20.00% 
Average Commission $0 
Available to US Investors Yes 
High Water Mark Yes 
Subscription Frequency Daily 
Redemption Frequency Daily 
Investor Requirements QEP 
Lock-up Period 0 
Trading Frequency 1531 RT/YR/$M 
Avg. Margin-to-Equity 4% 
Targeted Worst DD  
Worst Peak-to-Trough -14.81% 
Sector Focus Agricultural Traders 
Over 12 Months 0% 
4-12 Months 0% 
1-3 Months 0% 
1-30 Days 40.00% 
Intraday 60.00% 
Discretionary 100.00% 
Systematic 0% 
Index Award Type Rank Performance Period 
Agricultural Trader Index Month 3 4.54 8/2020 
Discretionary Trader Index Month 8 4.54 8/2020 
Agricultural Trader Index Month 7 1.38 6/2020 
Discretionary Trader Index Month 7 1.38 6/2020 
Agricultural Trader Index Month 8 0.79 5/2020 
Agricultural Trader Index Month 8 0.49 1/2020 
Agricultural Trader Index Month 8 0.86 12/2019 
Agricultural Trader Index Month 8 0.81 10/2019 
Agricultural Trader Index Month 9 1.24 9/2019 
Agricultural Trader Index Month 8 0.04 7/2019 
Discretionary Trader Index Month 5 1.83 6/2019 
Agricultural Trader Index Month 4 1.83 6/2019 
IASG CTA Index Month 1 13.67 5/2019 
Discretionary Trader Index Month 1 13.67 5/2019 
Agricultural Trader Index Month 1 13.67 5/2019 
Agricultural Trader Index Month 10 0.00 3/2019 
Agricultural Trader Index Month 4 0.81 1/2019 
Agricultural Trader Index Month 2 1.14 11/2018 
Agricultural Trader Index Month 1 3.50 10/2018 
Discretionary Trader Index Month 8 3.50 10/2018 
Agricultural Trader Index Month 3 4.83 7/2018 
Discretionary Trader Index Month 4 4.83 7/2018 
IASG CTA Index Month 6 4.83 7/2018 
Agricultural Trader Index Month 4 1.66 5/2018 
Agricultural Trader Index Month 3 1.53 4/2018 
Agricultural Trader Index Month 9 0.77 3/2018 
Agricultural Trader Index Month 7 1.02 2/2018 
Agricultural Trader Index Month 9 1.13 1/2018 
Agricultural Trader Index Month 10 0.26 9/2017 
Agricultural Trader Index Month 8 1.21 5/2017 
Agricultural Trader Index Month 6 0.76 4/2017 
Agricultural Trader Index Month 7 0.57 2/2017 
Agricultural Trader Index Month 8 0.53 1/2017 
Agricultural Trader Index Month 5 0.85 12/2016 
Agricultural Trader Index Month 7 0.84 10/2016 
Agricultural Trader Index Month 3 2.26 9/2016 
Discretionary Trader Index Month 10 2.26 9/2016 
Agricultural Trader Index Month 7 1.60 7/2016 
Discretionary Trader Index Month 9 2.92 5/2016 
Agricultural Trader Index Month 6 2.92 5/2016 
Agricultural Trader Index Month 10 0.26 4/2016 
Agricultural Trader Index Month 7 0.29 10/2015 
Agricultural Trader Index Month 10 0.37 8/2015 
Agricultural Trader Index Month 8 0.93 5/2015 
Agricultural Trader Index Month 4 2.13 3/2015 
Agricultural Trader Index Month 6 2.29 1/2015 
Agricultural Trader Index Month 6 2.57 8/2014 
IASG CTA Index Sharpe 8 1.92 2013 
Agricultural Trader Index Month 10 0.29 11/2013 
Agricultural Trader Index Month 7 2.10 9/2013 
Agricultural Trader Index Month 7 1.80 6/2013 
Agricultural Trader Index Month 2 1.69 5/2013 
Agricultural Trader Index Month 10 1.45 4/2013 
Agricultural Trader Index Month 2 0.99 3/2013 
Agricultural Trader Index Month 8 0.90 1/2013 
IASG CTA Index Sharpe 10 1.90 2012 
Agricultural Trader Index Month 7 0.18 11/2012 
Agricultural Trader Index Month 9 0.53 10/2012 
Agricultural Trader Index Month 10 0.68 4/2012 
Agricultural Trader Index Month 9 0.70 12/2011 
Agricultural Trader Index Month 7 3.61 7/2011 
Agricultural Trader Index Month 6 -0.59 6/2011 
Agricultural Trader Index Month 6 1.75 5/2011 
Agricultural Trader Index Month 7 3.72 4/2011 
Agricultural Trader Index Month 8 2.53 1/2011 
IASG CTA Index Sharpe 6 3.31 2010 
Agricultural Trader Index Month 2 1.84 11/2010 
Agricultural Trader Index Month 10 7.30 10/2010 
Agricultural Trader Index Month 6 6.35 8/2010 
Discretionary Trader Index Month 9 6.35 8/2010 
IASG CTA Index Month 9 8.37 6/2010 
Discretionary Trader Index Month 2 8.37 6/2010 
Agricultural Trader Index Month 1 8.37 6/2010 
Agricultural Trader Index Month 10 0.00 4/2010 
Program Name CAROR 
Fundamental 100.00%
Grains 100.00%
Annualized Vol 9.51%
Sharpe (RFR=1%) 0.42
CAROR 4.63%
Assets $ 3.7M
Worst DD -14.78
S&P  Correlation -0.10
