Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec YTD DD 
2021 0.35 0.26 0.31 0.33 1.26 0.00 2020 -0.11 0.10 0.01 0.47 0.46 -0.24 0.38 
0.35 -1.03 0.31 0.26 0.46 1.42 -1.03 2019 0.43 0.39 0.51 0.56 -0.02 0.73 0.75 
-0.17 0.43 0.05 0.45 0.39 4.59 -0.17 2018 0.55 0.73 -0.16 0.39 0.38 0.35 1.16 
0.58 1.00 0.01 0.24 -0.06 5.28 -0.16 2017 0.78 0.73 1.00 1.06 0.83 0.60 0.58 
0.46 0.71 0.92 -0.10 -0.19 7.63 -0.29 2016 -0.05 0.80 0.88 0.32 0.21 0.56 0.84 
0.45 0.52 0.07 0.36 0.92 6.04 -0.05 2015 2.05 -0.78 0.46 0.74 0.80 0.51 -0.06 
-1.22 0.62 1.12 1.45 5.79 -1.28 
Program / Index Apr Qtr YTD 1yr 3yr 5yr 10yr Since2/2015 
Tactical Program Client 0.33 0.90 1.26 2.21 11.39 26.57 - 36.53 
S&P 500 5.24 16.22 14.93 48.22 63.01 106.89 - 103.04 
+/- S&P 500 -4.91 -15.32 -13.67 -46.01 -51.61 -80.32 - -66.51 
Type Managed Account 
Minimum Investment $ 500k 
Trading Level Incremental Increase $ 500k 
CTA Max Funding Factor 1.00 
Management Fee 2.00% 
Performance Fee 20.00% 
Average Commission $0 
Available to US Investors Yes 
High Water Mark Yes 
Subscription Frequency 1-7 Days 
Redemption Frequency 1-7 Days 
Investor Requirements Accredited Investors 
Lock-up Period 0 
Trading Frequency 2000 RT/YR/$M 
Avg. Margin-to-Equity 30% 
Targeted Worst DD  
Worst Peak-to-Trough  
Sector Focus Stock Index Traders 
Over 12 Months 0% 
4-12 Months 0% 
1-3 Months 0% 
1-30 Days 100.00% 
Intraday 0% 
Discretionary 100.00% 
Systematic 0% 
Index Award Type Rank Performance Period 
Option Strategy Index Month 8 0.31 3/2021 
Option Strategy Index Month 7 0.25 2/2021 
Option Strategy Index Month 5 0.35 1/2021 
IASG CTA Index Sharpe 2 2.32 2017 - 2020 
Option Strategy Index Month 7 0.46 12/2020 
Option Strategy Index Month 6 0.26 11/2020 
Option Strategy Index Month 4 0.31 10/2020 
Stock Index Trader Index Month 10 0.31 10/2020 
Option Strategy Index Month 8 -1.03 9/2020 
Option Strategy Index Month 7 -1.03 9/2020 
Option Strategy Index Month 5 0.35 8/2020 
Option Strategy Index Month 4 0.38 7/2020 
Option Strategy Index Month 6 -0.24 6/2020 
Option Strategy Index Month 6 0.46 5/2020 
Option Strategy Index Month 4 0.47 4/2020 
Option Strategy Index Month 4 0.47 4/2020 
Option Strategy Index Month 4 0.01 3/2020 
Option Strategy Index Month 4 0.10 2/2020 
Option Strategy Index Month 9 -0.11 1/2020 
Option Strategy Index Month 8 0.39 12/2019 
IASG CTA Index Sharpe 2 2.77 2019 
Option Strategy Index Month 6 0.45 11/2019 
Option Strategy Index Month 8 0.05 10/2019 
Option Strategy Index Month 8 0.43 9/2019 
Option Strategy Index Month 8 -0.17 8/2019 
Option Strategy Index Month 5 0.76 7/2019 
Option Strategy Index Month 6 0.76 6/2019 
Option Strategy Index Month 6 -0.02 5/2019 
Option Strategy Index Month 6 0.58 4/2019 
Option Strategy Index Month 8 0.47 3/2019 
Option Strategy Index Month 8 0.38 2/2019 
Option Strategy Index Month 8 -0.06 12/2018 
IASG CTA Index Sharpe 2 2.74 2018 
Option Strategy Index Month 7 0.24 11/2018 
Option Strategy Index Month 5 0.01 10/2018 
Option Strategy Index Month 7 1.00 9/2018 
Option Strategy Index Month 5 0.63 8/2018 
Option Strategy Index Month 5 1.16 7/2018 
Option Strategy Index Month 10 0.35 6/2018 
Option Strategy Index Month 5 0.38 5/2018 
Option Strategy Index Month 9 0.39 4/2018 
Option Strategy Index Month 10 -0.16 3/2018 
Stock Index Trader Index Month 9 0.73 2/2018 
Option Strategy Index Month 2 0.73 2/2018 
Option Strategy Index Month 4 0.55 1/2018 
IASG CTA Index Sharpe 1 2.70 2017 
Option Strategy Index Month 9 -0.10 11/2017 
Option Strategy Index Month 7 0.92 10/2017 
Option Strategy Index Month 7 0.71 9/2017 
Option Strategy Index Month 10 0.46 8/2017 
Option Strategy Index Month 7 0.58 7/2017 
Option Strategy Index Month 7 0.92 12/2016 
Stock Index Trader Index Month 6 0.92 12/2016 
Program Name CAROR 
Warrington Strategic Program 9.30% 
Tactical Program (Proprietary) 6.68% 
Tactical Program Client 5.11% 
Option-spreads 5.00%
Option-writing 95.00%
Stock Indices 100.00%
Annualized Vol 1.72%
Sharpe (RFR=1%) 2.34
CAROR 5.11%
Assets $ 13.2M
Worst DD -1.28
S&P  Correlation 0.35
