Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec YTD DD 
2021 -0.56 1.71 0.42 -0.42 1.14 -0.56 2020 -0.09 -0.51 0.13 -0.26 0.51 0.86 -0.07 
-0.25 0.06 0.04 -0.25 0.71 0.87 -0.73 2019 -0.15 -0.27 1.08 -0.64 1.12 -0.18 0.25 
0.01 0.14 0.21 -0.30 0.02 1.28 -0.64 2018 -0.33 1.44 1.06 -0.54 -0.03 0.98 0.27 
0.03 1.14 2.38 0.43 -2.99 3.81 -2.99 2017 0.59 -0.02 1.86 0.18 1.04 0.96 0.07 
-0.47 0.21 0.19 -0.73 -0.14 3.78 -0.94 2016 -0.50 -0.18 -0.58 0.32 1.06 2.06 -0.54 
1.01 1.52 0.41 -0.61 0.62 4.64 -1.26 2015 1.61 -0.20 1.49 -0.16 -0.66 1.74 2.12 
-2.11 -0.29 -0.70 0.44 0.28 3.53 -3.08 2014 -0.11 0.22 1.18 0.96 0.47 -0.56 0.40 
-0.88 0.89 -0.56 -0.71 0.15 1.43 -1.42 2013 -0.35 0.07 0.02 0.04 -1.08 -1.67 -0.15 
4.13 -0.44 -0.25 -0.42 0.75 0.54 -3.09 2012 0.49 -0.38 -0.02 2.57 2.15 2.60 0.22 
0.04 1.12 1.66 0.12 1.51 12.70 -0.40 2011 0.19 0.62 2.50 1.50 2.32 2.06 -1.58 
-4.49 1.59 -0.55 4.39 3.63 12.52 -6.00 2010 0.46 3.79 0.01 0.43 -14.74 -0.23 -0.14 
3.28 0.51 -0.61 2.12 -0.37 -6.62 -15.06 2009 2.34 4.06 0.07 0.05 2.67 3.04 0.53 
0.42 0.80 -0.63 2.45 1.51 18.62 -0.63 2008 -5.15 1.12 2.04 2.30 3.00 1.89 0.24 
0.01 -14.10 -6.40 -2.30 -0.21 -17.43 -21.61 2007 1.50 -3.86 -0.72 -1.86 1.72 4.17 -5.63 
5.02 3.11 3.96 5.57 1.79 15.01 -6.33 2006 0.25 0.41 1.94 1.47 0.93 1.65 2.51 
1.00 0.79 1.06 0.71 0.98 14.57 0.00 2005 0.47 1.69 1.69 1.92 1.33 0.13 -2.27 
2.89 1.46 0.45 0.55 0.71 11.49 -2.27 2004 1.55 0.97 3.22 1.54 2.18 0.71 3.23 
-0.17 1.01 3.03 -1.28 -0.26 16.78 -1.54 2003 2.35 1.80 2.63 -0.31 1.23 1.71 -0.87 
2.99 0.52 0.51 4.07 0.16 18.01 -0.87 2002 2.48 1.10 0.40 1.44 0.63 1.07 1.25 
2.33 2.47 -1.98 -1.64 5.19 15.55 -3.59 2001 3.40 -1.04 -0.26 -6.02 2.11 -0.25 0.66 
2.20 -6.15 3.73 1.69 2.45 1.93 -8.78 2000 2.52 2.32 1.62 1.23 -1.36 3.24 2.54 
1.92 2.82 2.09 1.58 1.39 24.16 -1.36 1999 5.19 3.04 2.50 1.60 2.76 2.07 2.90 
2.13 3.20 -4.40 2.20 0.89 26.57 -4.40 1998 2.10 0.70 2.36 3.47 3.39 4.19 0.54 
-1.80 8.06 2.95 0.38 0.49 29.96 -1.80 1997 2.65 3.93 3.22 1.67 8.53 0.38 -1.39 
0.39 2.46 -4.90 2.34 4.12 25.37 -4.90 
Program / Index Apr Qtr YTD 1yr 3yr 5yr 10yr Since1/1997 
Warrington Strategic Program -0.42 1.71 1.14 2.77 5.55 17.59 48.71 771.01 
S&P 500 5.24 16.22 14.93 48.22 63.01 106.89 213.29 443.43 
+/- S&P 500 -5.66 -14.52 -13.79 -45.45 -57.46 -89.31 -164.58 327.58 
Type Fund 
Minimum Investment $ 50k 
Trading Level Incremental Increase $ 0k 
CTA Max Funding Factor  
Management Fee 2.00% 
Performance Fee 20.00% 
Average Commission $0 
Available to US Investors Yes 
High Water Mark Yes 
Subscription Frequency 15-30 Days 
Redemption Frequency 15-30 Days 
Investor Requirements Accredited Investors 
Lock-up Period 0 
Trading Frequency 2000 RT/YR/$M 
Avg. Margin-to-Equity 20% 
Targeted Worst DD  
Worst Peak-to-Trough  
Sector Focus Stock Index Traders 
Over 12 Months 0% 
4-12 Months 0% 
1-3 Months 10.00% 
1-30 Days 90.00% 
Intraday 0% 
Discretionary 100.00% 
Systematic 0% 
Index Award Type Rank Performance Period 
Option Strategy Index Month 7 0.42 3/2021 
Option Strategy Index Month 2 1.71 2/2021 
Option Strategy Index Month 9 -0.49 1/2021 
Option Strategy Index Month 6 0.71 12/2020 
Option Strategy Index Month 8 -0.26 11/2020 
Option Strategy Index Month 5 0.04 10/2020 
Option Strategy Index Month 5 0.06 9/2020 
Option Strategy Index Month 4 0.06 9/2020 
Option Strategy Index Month 6 -0.25 8/2020 
Option Strategy Index Month 7 -0.07 7/2020 
Option Strategy Index Month 3 0.86 6/2020 
Option Strategy Index Month 5 0.51 5/2020 
Option Strategy Index Month 6 -0.26 4/2020 
Option Strategy Index Month 6 -0.27 4/2020 
Option Strategy Index Month 3 0.13 3/2020 
Option Strategy Index Month 5 -0.51 2/2020 
Option Strategy Index Month 5 0.04 1/2020 
Option Strategy Index Month 9 0.02 12/2019 
Option Strategy Index Month 10 -0.29 11/2019 
Option Strategy Index Month 7 0.21 10/2019 
Option Strategy Index Month 9 0.14 9/2019 
Option Strategy Index Month 7 0.01 8/2019 
Option Strategy Index Month 9 0.25 7/2019 
Option Strategy Index Month 8 -0.18 6/2019 
Stock Index Trader Index Month 7 1.12 5/2019 
Option Strategy Index Month 4 1.12 5/2019 
Option Strategy Index Month 9 -0.64 4/2019 
Stock Index Trader Index Month 9 1.08 3/2019 
Option Strategy Index Month 4 1.08 3/2019 
Option Strategy Index Month 10 -3.00 12/2018 
Option Strategy Index Month 6 0.44 11/2018 
Option Strategy Index Month 2 2.38 10/2018 
Stock Index Trader Index Month 9 2.38 10/2018 
Option Strategy Index Month 6 1.14 9/2018 
Stock Index Trader Index Month 10 1.14 9/2018 
Option Strategy Index Month 8 0.03 8/2018 
Option Strategy Index Month 7 0.27 7/2018 
Option Strategy Index Month 8 0.98 6/2018 
Option Strategy Index Month 7 1.07 3/2018 
Stock Index Trader Index Month 8 1.44 2/2018 
Option Strategy Index Month 1 1.44 2/2018 
Option Strategy Index Month 6 -0.33 1/2018 
Option Strategy Index Month 10 -0.14 12/2017 
Option Strategy Index Month 10 -0.73 11/2017 
Option Strategy Index Month 10 0.19 10/2017 
Option Strategy Index Month 8 0.07 7/2017 
Option Strategy Index Month 9 1.04 5/2017 
Option Strategy Index Month 7 1.86 3/2017 
Stock Index Trader Index Month 9 0.62 12/2016 
Option Strategy Index Month 9 0.62 12/2016 
Option Strategy Index Month 5 1.52 9/2016 
Option Strategy Index Month 4 2.06 6/2016 
Stock Index Trader Index Month 8 2.06 6/2016 
Option Strategy Index Month 10 0.32 4/2016 
Option Strategy Index Month 8 -0.50 1/2016 
Option Strategy Index Month 8 0.28 12/2015 
Option Strategy Index Month 8 -0.70 10/2015 
Option Strategy Index Month 6 -2.11 8/2015 
Option Strategy Index Month 9 1.74 6/2015 
Option Strategy Index Month 10 1.61 1/2015 
Option Strategy Index Month 8 0.15 12/2014 
Option Strategy Index Month 6 -0.56 10/2014 
Option Strategy Index Month 5 0.40 7/2014 
Option Strategy Index Month 3 4.13 8/2013 
Stock Index Trader Index Month 4 4.13 8/2013 
Discretionary Trader Index Month 7 4.13 8/2013 
Option Strategy Index Month 7 0.04 4/2013 
Stock Index Trader Index Month 8 1.51 12/2012 
Option Strategy Index Month 10 1.51 12/2012 
Option Strategy Index Month 7 2.60 6/2012 
Option Strategy Index Month 9 2.15 5/2012 
Stock Index Trader Index Month 9 4.39 11/2011 
Stock Index Trader Index Month 5 2.06 6/2011 
Option Strategy Index Month 9 2.06 6/2011 
Stock Index Trader Index Month 9 1.50 4/2011 
Option Strategy Index Month 8 1.50 4/2011 
Option Strategy Index Month 8 2.12 11/2010 
Stock Index Trader Index Month 10 2.12 11/2010 
Stock Index Trader Index Month 8 3.28 8/2010 
Option Strategy Index Month 6 3.28 8/2010 
Stock Index Trader Index Month 8 3.79 2/2010 
Option Strategy Index Month 9 3.79 2/2010 
Option Strategy Index Month 10 0.53 7/2009 
Option Strategy Index Month 10 3.04 6/2009 
Stock Index Trader Index Month 5 3.04 6/2009 
Stock Index Trader Index Month 6 2.67 5/2009 
Option Strategy Index Month 7 2.67 5/2009 
Option Strategy Index Month 10 0.07 3/2009 
Option Strategy Index Month 7 4.06 2/2009 
Stock Index Trader Index Month 8 4.06 2/2009 
Option Strategy Index Month 8 2.34 1/2009 
Stock Index Trader Index Month 10 2.34 1/2009 
Option Strategy Index Month 8 -6.40 10/2008 
Option Strategy Index Month 7 -14.10 9/2008 
Option Strategy Index Month 10 0.01 8/2008 
Option Strategy Index Month 10 0.24 7/2008 
Option Strategy Index Month 9 1.89 6/2008 
Stock Index Trader Index Month 7 1.89 6/2008 
